net,length_um
lf_inst.integrator\[23\],29.5µm
_0340_,29.42µm
_0466_,29.32µm
_0850_,29.26µm
div_inst.counter\[10\],29.22µm
lf_inst.integrator\[12\],29.2µm
net188,29.075µm
_0539_,29.04µm
_0489_,29µm
_0156_,28.98µm
_0552_,28.88µm
_0959_,28.66µm
div_inst.counter\[3\],28.6µm
div_inst.counter\[21\],28.56µm
_0949_,28.5µm
_0894_,28.46µm
net180,28.46µm
_1029_,28.36µm
_0304_,28.24µm
net87,28.24µm
_1041_,28.18µm
div_inst.counter\[31\],28.1µm
net92,28.04µm
div_inst.counter\[14\],27.88µm
net210,27.85µm
lf_inst.integrator\[5\],27.78µm
net80,27.72µm
net309,27.66µm
_0490_,27.64µm
_0177_,27.5µm
div_inst.counter\[5\],27.5µm
_0770_,27.42µm
_0884_,27.3µm
_0230_,27.24µm
_0774_,27.24µm
net9,27.18µm
_0436_,26.86µm
_0398_,26.78µm
_0611_,26.66µm
_0249_,26.64µm
net64,26.64µm
lf_inst.integrator\[6\],26.62µm
_0542_,26.55µm
net16,26.3µm
net1,26.24µm
net280,26.18µm
net302,26.13µm
div_inst.counter\[1\],26.06µm
net4,26.02µm
_0881_,26µm
div_inst.counter\[27\],26µm
net76,26µm
_0385_,25.96µm
net41,25.96µm
net84,25.96µm
net18,25.9µm
_0829_,25.82µm
_0631_,25.72µm
_0205_,25.68µm
_1011_,25.64µm
_0961_,25.56µm
net81,25.52µm
div_inst.counter\[11\],25.4µm
_0544_,25.32µm
lf_inst.integrator\[8\],25.32µm
net172,25.32µm
_0885_,25.26µm
net85,25.24µm
_0225_,25.16µm
div_inst.counter\[30\],25.1µm
_1017_,24.92µm
_0223_,24.74µm
net144,24.74µm
net201,24.73µm
net93,24.72µm
dco_inst.accumulator\[1\],24.68µm
net310,24.65µm
_0511_,24.64µm
_0465_,24.5µm
_0861_,24.44µm
_1014_,24.32µm
_0553_,24.24µm
div_inst.counter\[24\],24.2µm
net211,24.2µm
net75,24.16µm
net7,24.12µm
lf_inst.zero_error_count\[2\],24.01µm
_0698_,24µm
_0417_,23.88µm
net146,23.88µm
lf_inst.integrator\[22\],23.86µm
_0762_,23.84µm
_1020_,23.6µm
_0202_,23.58µm
_0919_,23.58µm
net182,23.55µm
_0672_,23.54µm
_0999_,23.54µm
_0609_,23.52µm
_0918_,23.5µm
_0567_,23.44µm
net129,23.44µm
net142,23.44µm
net135,23.42µm
_0648_,23.38µm
_0920_,23.33µm
_0264_,22.9µm
net230,22.88µm
_0254_,22.84µm
_0307_,22.84µm
net137,22.76µm
_0477_,22.75µm
net95,22.66µm
_0408_,22.46µm
net90,22.42µm
net132,22.32µm
_0841_,22.2µm
net83,22.18µm
net162,22.15µm
_0346_,22.14µm
_0183_,22.09µm
_0750_,22.04µm
net213,21.98µm
div_inst.counter\[18\],21.84µm
_0376_,21.72µm
_0896_,21.7µm
_0195_,21.6µm
div_inst.counter\[29\],21.58µm
net52,21.54µm
lf_inst.integrator\[11\],21.52µm
lf_inst.integrator\[13\],21.52µm
_0368_,21.38µm
lf_inst.integrator\[10\],21.34µm
net39,21.3µm
_0445_,21.24µm
_0181_,21.22µm
_1044_,21.22µm
_0696_,21.2µm
lf_inst.integrator\[27\],21.16µm
net260,21.16µm
_0323_,21.15µm
_0241_,21.12µm
_0818_,21.08µm
_1046_,21.08µm
div_inst.counter\[8\],21.08µm
_0733_,21.05µm
lf_inst.zero_error_count\[0\],21.04µm
_0694_,20.98µm
div_inst.counter\[2\],20.94µm
_0522_,20.885µm
_0448_,20.765µm
net140,20.72µm
_0247_,20.715µm
_0546_,20.7µm
net308,20.695µm
_0634_,20.68µm
_0865_,20.66µm
div_inst.counter\[12\],20.66µm
lf_inst.integrator\[24\],20.58µm
_0439_,20.55µm
_0387_,20.54µm
_0388_,20.5µm
net224,20.46µm
_0342_,20.43µm
div_inst.counter\[16\],20.42µm
lf_inst.zero_error_count\[1\],20.42µm
_0678_,20.38µm
div_inst.counter\[26\],20.32µm
net229,20.28µm
_0233_,20.22µm
net112,20.16µm
net17,20.14µm
_0214_,20.08µm
div_inst.counter\[15\],20.02µm
_0802_,19.935µm
_0375_,19.92µm
div_inst.counter\[13\],19.92µm
_0587_,19.88µm
_0639_,19.8µm
_0663_,19.76µm
_0294_,19.74µm
_0499_,19.74µm
_0622_,19.735µm
_0903_,19.72µm
net157,19.68µm
lf_inst.integrator\[0\],19.57µm
_0893_,19.54µm
_0606_,19.52µm
net217,19.52µm
lf_inst.integrator\[15\],19.48µm
net169,19.46µm
net57,19.4µm
pfd_inst.fb_sync\[1\],19.38µm
unlock_timer\[0\],19.34µm
_0255_,19.32µm
div_inst.counter\[4\],19.3µm
lf_inst.integrator\[21\],19.29µm
