net,length_um
_0392_,5.26µm
_0563_,5.26µm
_0778_,5.26µm
_0857_,5.26µm
_0982_,5.26µm
net315,5.26µm
_0812_,5.24µm
_0232_,5.22µm
_0444_,5.22µm
_0767_,5.22µm
_0028_,5.185µm
div_val[12],5.17µm
_0003_,5.16µm
_0851_,5.16µm
_0032_,5.095µm
debug_dco_word[0],5.07µm
debug_dco_word[14],5.07µm
debug_dco_word[21],5.07µm
debug_dco_word[22],5.07µm
lock_detect,5.07µm
_0597_,5.06µm
_0968_,5.06µm
_0800_,5.04µm
_0897_,5.02µm
dco_inst.accumulator\[12\],5.02µm
lf_inst.integrator\[1\],5.02µm
net350,5µm
net353,5µm
_0282_,4.98µm
initial_freq[16],4.95µm
initial_freq[17],4.95µm
initial_freq[20],4.95µm
initial_freq[2],4.95µm
_0253_,4.92µm
_0463_,4.92µm
_0888_,4.92µm
net234,4.92µm
_0573_,4.9µm
_0711_,4.9µm
_0891_,4.9µm
_0000_,4.885µm
_0322_,4.88µm
_0916_,4.88µm
_1002_,4.88µm
_1024_,4.88µm
div_val[27],4.83µm
div_val[29],4.83µm
div_val[2],4.83µm
ref_clk,4.83µm
_0830_,4.82µm
_0987_,4.82µm
div_inst.clk_out,4.82µm
_0305_,4.8µm
_0962_,4.8µm
_0191_,4.76µm
_0957_,4.76µm
net34,4.76µm
_0136_,4.7µm
_0381_,4.7µm
_0731_,4.68µm
dco_inst.accumulator\[22\],4.68µm
_0899_,4.66µm
initial_freq[14],4.61µm
pll_out,4.61µm
_0006_,4.605µm
net335,4.6µm
_0512_,4.58µm
_0842_,4.58µm
net325,4.58µm
_0693_,4.56µm
div_val[1],4.49µm
div_val[21],4.49µm
_0484_,4.48µm
_0769_,4.48µm
_0846_,4.48µm
net372,4.48µm
_0226_,4.46µm
_0244_,4.46µm
_0481_,4.46µm
_0496_,4.46µm
_0505_,4.46µm
_0739_,4.46µm
_0909_,4.46µm
_0925_,4.46µm
dco_inst.accumulator\[16\],4.46µm
_0819_,4.44µm
dco_inst.accumulator\[4\],4.44µm
_0799_,4.43µm
_0503_,4.42µm
_0773_,4.42µm
_0817_,4.42µm
net47,4.42µm
debug_dco_word[1],4.39µm
_0020_,4.385µm
_0086_,4.385µm
_0110_,4.385µm
_0115_,4.385µm
_0029_,4.38µm
_0099_,4.38µm
_0261_,4.34µm
_0298_,4.34µm
_0312_,4.34µm
_0330_,4.34µm
_0434_,4.34µm
_0562_,4.34µm
_0721_,4.34µm
_0790_,4.34µm
_0970_,4.34µm
net345,4.34µm
_0372_,4.32µm
_0589_,4.3µm
_0031_,4.24µm
_0041_,4.24µm
_0068_,4.24µm
_0080_,4.24µm
_0623_,4.24µm
_0979_,4.24µm
dco_inst.accumulator\[26\],4.24µm
_0754_,4.22µm
_1007_,4.22µm
_0952_,4.2µm
div_val[13],4.15µm
div_val[19],4.15µm
div_val[23],4.15µm
div_val[30],4.15µm
_0004_,4.145µm
_0302_,4.14µm
net352,4.14µm
_0025_,4.125µm
_0508_,4.12µm
_0394_,4.11µm
_0600_,4.1µm
_0856_,4.1µm
_0478_,4.08µm
_0057_,4.065µm
_0734_,4.02µm
_0337_,4µm
_0742_,4µm
_0843_,4µm
_0927_,4µm
_0991_,4µm
pfd_inst.ref_sync\[0\],4µm
unlock_timer\[5\],4µm
_0234_,3.98µm
_0034_,3.925µm
_0071_,3.925µm
_0151_,3.925µm
_0052_,3.9µm
_0325_,3.9µm
_0186_,3.88µm
_0204_,3.88µm
_0291_,3.88µm
_0682_,3.88µm
_0771_,3.88µm
_0502_,3.84µm
div_val[10],3.81µm
div_val[17],3.81µm
div_val[18],3.81µm
div_val[22],3.81µm
div_val[28],3.81µm
div_val[8],3.81µm
_0016_,3.805µm
_0055_,3.805µm
_0507_,3.76µm
_0657_,3.76µm
_0369_,3.72µm
_0453_,3.68µm
_0876_,3.68µm
_1031_,3.68µm
net356,3.68µm
_0990_,3.66µm
_0615_,3.64µm
_0462_,3.565µm
_0488_,3.56µm
net253,3.56µm
net357,3.56µm
_0158_,3.54µm
_0292_,3.54µm
_0501_,3.54µm
_0536_,3.54µm
dco_inst.accumulator\[3\],3.54µm
_0691_,3.52µm
div_val[11],3.47µm
div_val[20],3.47µm
div_val[24],3.47µm
div_val[31],3.47µm
div_val[3],3.47µm
div_val[5],3.47µm
_0035_,3.465µm
_0045_,3.465µm
_0060_,3.465µm
_0089_,3.465µm
_0092_,3.465µm
_0112_,3.465µm
_0131_,3.465µm
_0133_,3.465µm
_0847_,3.44µm
_0923_,3.44µm
_0963_,3.44µm
dco_inst.accumulator\[24\],3.44µm
dco_inst.accumulator\[2\],3.44µm
_0270_,3.42µm
_0281_,3.42µm
_0756_,3.42µm
div_inst.counter\[0\],3.42µm
net170,3.42µm
_0036_,3.415µm
_0014_,3.32µm
_0124_,3.32µm
_0336_,3.32µm
_0260_,3.22µm
_0898_,3.22µm
net320,3.22µm
_0350_,3.2µm
_0557_,3.18µm
_0759_,3.18µm
_0096_,3.145µm
_0440_,3.105µm
_0172_,3.1µm
_0334_,3.1µm
_0361_,3.1µm
_0461_,3.1µm
_0485_,3.1µm
_0872_,3.1µm
_0258_,3.08µm
_0362_,3.08µm
_0636_,3.08µm
_0655_,3.08µm
_0763_,3.08µm
_0808_,3.08µm
_0984_,3.08µm
net342,3.08µm
_0108_,3.045µm
_0114_,3.045µm
_0122_,3.045µm
_0042_,3.005µm
_0109_,3.005µm
net100,2.98µm
net38,2.97µm
_0476_,2.965µm
_0303_,2.96µm
_0411_,2.96µm
_0433_,2.96µm
_0564_,2.96µm
_0571_,2.96µm
_0656_,2.96µm
_0719_,2.96µm
_0795_,2.96µm
_0828_,2.96µm
_0838_,2.96µm
_0879_,2.96µm
_0911_,2.96µm
net45,2.96µm
net329,2.96µm
net349,2.96µm
net355,2.96µm
_0643_,2.92µm
_0047_,2.885µm
_0152_,2.885µm
_0030_,2.86µm
_0100_,2.86µm
_0105_,2.86µm
_0121_,2.86µm
_0135_,2.86µm
_0144_,2.86µm
_0642_,2.86µm
_0783_,2.86µm
_0517_,2.84µm
_0630_,2.84µm
_0095_,2.835µm
_0069_,2.785µm
_0072_,2.785µm
_0129_,2.785µm
_0665_,2.76µm
_0822_,2.76µm
_1012_,2.76µm
net365,2.76µm
_0311_,2.74µm
_0738_,2.74µm
_0143_,2.715µm
_0101_,2.705µm
net327,2.64µm
net359,2.64µm
_0390_,2.62µm
_0971_,2.62µm
_1045_,2.62µm
net46,2.62µm
_0001_,2.585µm
_0146_,2.585µm
_0039_,2.545µm
_0040_,2.545µm
_0064_,2.545µm
_0102_,2.545µm
_0119_,2.545µm
_0127_,2.545µm
_0130_,2.545µm
_0132_,2.545µm
_0147_,2.545µm
_0148_,2.545µm
_0033_,2.54µm
_0384_,2.52µm
_0603_,2.52µm
_0873_,2.52µm
dco_inst.accumulator\[15\],2.505µm
_0395_,2.5µm
_0413_,2.5µm
_0675_,2.5µm
_0882_,2.5µm
_0993_,2.5µm
_0995_,2.5µm
net331,2.5µm
_0070_,2.485µm
_0616_,2.48µm
_0550_,2.46µm
_0091_,2.42µm
_0097_,2.42µm
_0900_,2.405µm
net33,2.4µm
_0358_,2.38µm
_0804_,2.38µm
_0015_,2.325µm
_0078_,2.325µm
_0443_,2.3µm
_0523_,2.3µm
net338,2.3µm
net343,2.28µm
net360,2.28µm
_0670_,2.27µm
_0134_,2.255µm
_0138_,2.255µm
_0178_,2.18µm
_0339_,2.18µm
_0354_,2.18µm
_0373_,2.18µm
_0379_,2.18µm
_0426_,2.18µm
_0437_,2.18µm
_0576_,2.18µm
_0629_,2.18µm
_0937_,2.18µm
net317,2.18µm
net332,2.18µm
net333,2.18µm
net341,2.18µm
net373,2.18µm
_0356_,2.165µm
_0220_,2.16µm
_0467_,2.16µm
_0617_,2.16µm
_0644_,2.16µm
_0692_,2.16µm
_0723_,2.16µm
_0741_,2.16µm
_0837_,2.16µm
_0969_,2.16µm
net323,2.16µm
net364,2.145µm
_0005_,2.125µm
_0084_,2.125µm
_0103_,2.125µm
_0113_,2.125µm
_0125_,2.125µm
_0066_,2.085µm
_0126_,2.085µm
_0139_,2.085µm
_0142_,2.085µm
_0150_,2.085µm
_0018_,2.08µm
_0155_,2.06µm
_0978_,2.06µm
_0435_,2.045µm
_0160_,2.04µm
_0217_,2.04µm
_0246_,2.04µm
_0285_,2.04µm
_0758_,2.04µm
net313,2.04µm
net337,2.04µm
_0009_,2.025µm
_0058_,2.025µm
_0098_,2.025µm
_0106_,2.025µm
_0008_,1.915µm
_0007_,1.865µm
_0044_,1.865µm
_0087_,1.865µm
_0140_,1.865µm
_0149_,1.865µm
_0932_,1.85µm
_0343_,1.84µm
_0475_,1.84µm
_0887_,1.84µm
net328,1.84µm
net330,1.84µm
net354,1.84µm
net358,1.84µm
_0824_,1.82µm
net321,1.82µm
net369,1.82µm
_0051_,1.745µm
_0275_,1.72µm
_0316_,1.72µm
_0382_,1.72µm
_0752_,1.72µm
_0162_,1.7µm
_0284_,1.7µm
_0540_,1.7µm
_0725_,1.7µm
_0732_,1.7µm
_0834_,1.7µm
pfd_inst.fb_sync\[2\],1.7µm
_0011_,1.685µm
_0088_,1.685µm
_0293_,1.6µm
_0500_,1.6µm
_0043_,1.575µm
_0090_,1.575µm
_0141_,1.575µm
_0549_,1.48µm
_0019_,1.405µm
_0022_,1.405µm
_0128_,1.405µm
_0310_,1.38µm
_0588_,1.38µm
_0651_,1.38µm
_0813_,1.38µm
_0945_,1.38µm
_0996_,1.38µm
net314,1.38µm
_0431_,1.36µm
_0297_,1.22µm
_0833_,1.22µm
_0459_,1.14µm
_0815_,1.14µm
_0883_,1.14µm
net67,1.14µm
_0180_,0.92µm
_0352_,0.92µm
_0713_,0.92µm
_0807_,0.92µm
_0821_,0.92µm
_0286_,0.8µm
_0331_,0.8µm
_1001_,0.8µm
_0235_,0.46µm
_0545_,0.46µm
_0551_,0.46µm
_0568_,0.46µm
_0590_,0.46µm
_0593_,0.46µm
_0685_,0.46µm
_0708_,0.46µm
_0715_,0.46µm
net334,0.46µm
