Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_61_259,VDD,Metal1,152.3200,254.8000,4.999954
FILLER_61_243,VDD,Metal1,147.8880,255.4920,4.999954
FILLER_61_233,VDD,Metal1,138.7000,255.2325,4.999965
FILLER_61_225,VDD,Metal1,135.4665,255.3765,4.999965
FILLER_61_218,VDD,Metal1,129.3600,254.8000,4.999966
FILLER_61_196,VDD,Metal1,116.7600,254.8000,4.999965
FILLER_61_177,VDD,Metal1,106.1200,254.8000,4.999967
FILLER_61_175,VDD,Metal1,105.2800,254.8000,4.999967
FILLER_61_144,VDD,Metal1,87.6400,254.8000,4.999970
FILLER_61_142,VDD,Metal1,86.8000,254.8000,4.999970
FILLER_61_136,VDD,Metal1,84.3800,255.2325,4.999970
FILLER_61_72,VDD,Metal1,65.6750,255.6140,4.999970
FILLER_61_69,VDD,Metal1,45.6400,254.8000,4.999972
FILLER_61_37,VDD,Metal1,37.0755,255.5685,4.999973
FILLER_61_30,VDD,Metal1,23.8000,254.8000,4.999974
FILLER_61_26,VDD,Metal1,22.7800,255.2325,4.999974
FILLER_61_18,VDD,Metal1,19.5465,255.3765,4.999974
FILLER_61_2,VDD,Metal1,12.9280,255.4920,4.999974
FILLER_60_457,VDD,Metal1,262.9200,254.8000,4.999974
FILLER_60_430,VDD,Metal1,248.0800,254.8000,4.999974
FILLER_60_406,VDD,Metal1,234.3600,254.8000,4.999949
FILLER_60_404,VDD,Metal1,233.5200,254.8000,4.999949
FILLER_60_395,VDD,Metal1,228.2000,254.8000,4.999949
FILLER_60_387,VDD,Metal1,226.1865,254.2230,4.999949
FILLER_60_377,VDD,Metal1,220.5865,254.2230,4.999954
FILLER_60_371,VDD,Metal1,214.7600,254.8000,4.999951
FILLER_60_369,VDD,Metal1,213.9200,254.8000,4.999951
FILLER_60_339,VDD,Metal1,196.8400,254.8000,4.999953
FILLER_60_337,VDD,Metal1,196.0000,254.8000,4.999953
FILLER_60_330,VDD,Metal1,192.0800,254.8000,4.999954
FILLER_60_314,VDD,Metal1,182.8400,254.8000,4.999954
FILLER_60_310,VDD,Metal1,181.8200,254.3675,4.999954
FILLER_60_294,VDD,Metal1,176.4480,254.1080,4.999954
FILLER_60_280,VDD,Metal1,164.0800,254.8000,4.999956
FILLER_60_276,VDD,Metal1,162.7800,254.3675,4.999957
FILLER_60_244,VDD,Metal1,143.6400,254.8000,4.999958
FILLER_60_242,VDD,Metal1,142.8000,254.8000,4.999958
FILLER_60_238,VDD,Metal1,141.5000,254.3675,4.999958
FILLER_60_230,VDD,Metal1,138.2665,254.2230,4.999965
FILLER_60_222,VDD,Metal1,131.6000,254.8000,4.999966
FILLER_60_210,VDD,Metal1,124.6000,254.8000,4.999964
FILLER_60_208,VDD,Metal1,123.7600,254.8000,4.999964
FILLER_60_204,VDD,Metal1,122.4600,254.3675,4.999964
FILLER_60_199,VDD,Metal1,118.4400,254.8000,4.999965
FILLER_60_197,VDD,Metal1,117.6000,254.8000,4.999965
FILLER_60_193,VDD,Metal1,116.3000,254.3675,4.999965
FILLER_60_177,VDD,Metal1,110.9280,254.1080,4.999965
FILLER_60_174,VDD,Metal1,104.4400,254.8000,4.999969
FILLER_60_170,VDD,Metal1,103.4200,254.3675,4.999969
FILLER_60_131,VDD,Metal1,80.3600,254.8000,4.999970
FILLER_60_123,VDD,Metal1,78.3465,254.2230,4.999970
FILLER_60_107,VDD,Metal1,71.7280,254.1080,4.999970
FILLER_60_104,VDD,Metal1,65.2400,254.8000,4.999970
FILLER_60_72,VDD,Metal1,56.6755,254.0310,4.999970
FILLER_60_31,VDD,Metal1,25.5800,254.3675,4.999974
FILLER_59_456,VDD,Metal1,262.6400,246.9600,4.999957
FILLER_59_427,VDD,Metal1,246.4000,246.9600,4.999957
FILLER_59_422,VDD,Metal1,243.3200,246.9600,4.999957
FILLER_59_408,VDD,Metal1,236.7000,247.3925,4.999966
FILLER_59_392,VDD,Metal1,231.3280,247.6520,4.999966
FILLER_59_361,VDD,Metal1,209.4400,246.9600,4.999968
FILLER_59_342,VDD,Metal1,198.8000,246.9600,4.999970
FILLER_59_338,VDD,Metal1,197.5000,247.3925,4.999970
FILLER_59_330,VDD,Metal1,194.2665,247.5365,4.999970
FILLER_59_314,VDD,Metal1,187.6480,247.6520,4.999970
FILLER_59_282,VDD,Metal1,174.2755,247.7285,4.999971
FILLER_59_278,VDD,Metal1,162.9600,246.9600,4.999971
FILLER_59_274,VDD,Metal1,161.6600,247.3925,4.999971
FILLER_59_266,VDD,Metal1,158.4265,247.5365,4.999971
FILLER_59_250,VDD,Metal1,148.2200,247.3925,4.999971
FILLER_59_242,VDD,Metal1,144.9865,247.5365,4.999971
FILLER_59_212,VDD,Metal1,125.7200,246.9600,4.999971
FILLER_59_209,VDD,Metal1,124.0400,246.9600,4.999971
FILLER_59_205,VDD,Metal1,123.0200,247.3925,4.999971
FILLER_59_197,VDD,Metal1,119.7865,247.5365,4.999971
FILLER_59_181,VDD,Metal1,113.1680,247.6520,4.999971
FILLER_59_160,VDD,Metal1,96.6000,246.9600,4.999973
FILLER_59_158,VDD,Metal1,95.7600,246.9600,4.999974
FILLER_59_142,VDD,Metal1,91.3280,247.6520,4.999974
FILLER_59_136,VDD,Metal1,84.3800,247.3925,4.999974
FILLER_59_120,VDD,Metal1,79.0080,247.6520,4.999974
FILLER_59_84,VDD,Metal1,54.0400,246.9600,4.999977
FILLER_59_80,VDD,Metal1,53.0200,247.3925,4.999977
FILLER_59_72,VDD,Metal1,49.7865,247.5365,4.999977
FILLER_59_69,VDD,Metal1,45.6400,246.9600,4.999977
FILLER_59_67,VDD,Metal1,44.8000,246.9600,4.999977
FILLER_59_54,VDD,Metal1,37.2400,246.9600,4.999977
FILLER_59_46,VDD,Metal1,35.2265,247.5365,4.999977
FILLER_59_32,VDD,Metal1,25.2000,246.9600,4.999975
FILLER_59_28,VDD,Metal1,23.9000,247.3925,4.999975
FILLER_58_457,VDD,Metal1,262.9200,246.9600,4.999957
FILLER_58_437,VDD,Metal1,252.9400,246.5275,4.999957
FILLER_58_426,VDD,Metal1,246.7800,246.5275,4.999957
FILLER_58_418,VDD,Metal1,243.5465,246.3830,4.999957
FILLER_58_402,VDD,Metal1,236.9280,246.2680,4.999966
FILLER_58_395,VDD,Metal1,228.4800,246.9600,4.999966
FILLER_58_387,VDD,Metal1,226.1865,246.3830,4.999967
FILLER_58_383,VDD,Metal1,221.7600,246.9600,4.999967
FILLER_58_369,VDD,Metal1,213.9200,246.9600,4.999967
FILLER_58_299,VDD,Metal1,179.2480,246.2680,4.999971
FILLER_58_260,VDD,Metal1,153.8200,246.5275,4.999971
FILLER_58_247,VDD,Metal1,147.7865,246.3830,4.999971
FILLER_58_243,VDD,Metal1,143.3600,246.9600,4.999971
FILLER_58_235,VDD,Metal1,141.0665,246.3830,4.999971
FILLER_58_219,VDD,Metal1,129.6400,246.9600,4.999971
FILLER_58_217,VDD,Metal1,128.8000,246.9600,4.999971
FILLER_58_213,VDD,Metal1,127.5000,246.5275,4.999971
FILLER_58_174,VDD,Metal1,104.4400,246.9600,4.999972
FILLER_58_172,VDD,Metal1,103.6000,246.9600,4.999973
FILLER_58_168,VDD,Metal1,102.3000,246.5275,4.999973
FILLER_58_152,VDD,Metal1,96.9280,246.2680,4.999973
FILLER_58_120,VDD,Metal1,83.5555,246.1910,4.999974
FILLER_58_113,VDD,Metal1,70.2800,246.9600,4.999977
FILLER_58_111,VDD,Metal1,69.4400,246.9600,4.999977
FILLER_58_107,VDD,Metal1,68.1400,246.5275,4.999977
FILLER_58_103,VDD,Metal1,64.9600,246.9600,4.999977
FILLER_58_55,VDD,Metal1,37.8000,246.9600,4.999977
FILLER_58_21,VDD,Metal1,18.7600,246.9600,4.999974
FILLER_58_14,VDD,Metal1,14.8400,246.9600,4.999973
FILLER_58_2,VDD,Metal1,8.1200,246.9600,4.999973
FILLER_57_456,VDD,Metal1,262.6400,239.1200,4.999969
