net,length_um
div_inst.counter\[21\],37.36µm
_0813_,37.35µm
_0933_,37.34µm
net13,37.16µm
_0583_,37.14µm
net12,37.14µm
net97,37.14µm
div_inst.counter\[26\],37.12µm
net188,36.97µm
div_inst.counter\[8\],36.78µm
net22,36.74µm
net9,36.48µm
net92,36.48µm
_0874_,36.46µm
net70,36.32µm
net196,36.28µm
lf_inst.integrator\[23\],36.1µm
_0809_,35.66µm
lf_inst.integrator\[24\],35.42µm
_0887_,35.34µm
net82,35.3µm
net120,35.14µm
_0427_,35.1µm
_0994_,34.94µm
lf_inst.integrator\[14\],34.94µm
net181,34.84µm
net185,34.775µm
_0498_,34.64µm
net118,34.62µm
net203,34.56µm
net205,34.33µm
net123,34.32µm
net250,34.22µm
div_inst.counter\[14\],34.18µm
_0502_,34.12µm
_0851_,34.02µm
net201,33.88µm
net173,33.87µm
lf_inst.integrator\[0\],33.86µm
_0961_,33.76µm
_0873_,33.75µm
_0847_,33.72µm
net219,33.66µm
net277,33.34µm
div_inst.counter\[1\],33.02µm
div_inst.counter\[22\],32.98µm
_0150_,32.86µm
net69,32.72µm
div_inst.counter\[6\],32.44µm
_0203_,31.98µm
div_inst.counter\[9\],31.98µm
_0903_,31.28µm
lf_inst.integrator\[5\],31.16µm
net183,30.94µm
net1,30.92µm
_0162_,30.78µm
_0945_,30.66µm
net85,30.66µm
_0856_,30.58µm
_1010_,30.34µm
net36,30.16µm
div_inst.counter\[30\],30.14µm
_0674_,30.12µm
lf_inst.integrator\[27\],30.12µm
_0894_,29.795µm
div_inst.counter\[24\],29.72µm
_0167_,29.68µm
net84,29.66µm
net95,29.66µm
_0829_,29.54µm
_0965_,29.48µm
_0336_,29.46µm
net164,29.45µm
_1024_,29.375µm
net179,29.345µm
net15,29.32µm
lf_inst.integrator\[15\],29.21µm
div_inst.counter\[3\],28.94µm
net14,28.72µm
net86,28.6µm
_0975_,28.56µm
net17,28.4µm
_0164_,28.34µm
_1006_,28.28µm
_0478_,28.18µm
net274,28.14µm
_0962_,28.12µm
_0865_,28.08µm
_0277_,27.98µm
_0642_,27.94µm
_0844_,27.94µm
_0853_,27.94µm
_0905_,27.92µm
net269,27.82µm
_0883_,27.8µm
net66,27.8µm
_1002_,27.74µm
net187,27.74µm
net16,27.64µm
net124,27.63µm
net264,27.6µm
_0916_,27.56µm
net127,27.52µm
lf_inst.integrator\[16\],27.5µm
net3,27.48µm
div_inst.counter\[11\],27.46µm
_0901_,27.42µm
_0368_,27.4µm
_0355_,27.38µm
net42,27.36µm
net204,27.34µm
net10,27.33µm
_0165_,27.28µm
_0542_,27.28µm
_0837_,27.28µm
_1017_,27.26µm
_0863_,27.22µm
net263,27.2µm
_0793_,27.14µm
net74,27.12µm
_0306_,27.04µm
net136,26.98µm
_0749_,26.9µm
lf_inst.error_in\[0\],26.9µm
net27,26.9µm
net265,26.795µm
_0964_,26.76µm
lf_inst.integrator\[8\],26.7µm
_1004_,26.64µm
net191,26.6µm
_0506_,26.56µm
net30,26.54µm
_0575_,26.42µm
_0790_,26.42µm
_0637_,26.34µm
_0660_,26.28µm
_0891_,26.22µm
net94,26.21µm
_0818_,26.2µm
net126,26.14µm
net121,26.13µm
_0396_,26.06µm
lf_inst.zero_error_count\[2\],25.92µm
div_inst.counter\[10\],25.88µm
_0987_,25.82µm
_0970_,25.76µm
net253,25.71µm
_0207_,25.7µm
net26,25.7µm
lf_inst.integrator\[25\],25.63µm
div_inst.counter\[28\],25.58µm
net11,25.5µm
_0358_,25.49µm
_0452_,25.48µm
_0161_,25.44µm
_0939_,25.32µm
div_inst.counter\[17\],25.18µm
net72,25.18µm
_0666_,25.16µm
net153,25.085µm
div_inst.counter\[19\],24.96µm
_0261_,24.88µm
net157,24.875µm
net98,24.84µm
_0799_,24.52µm
net279,24.46µm
_0937_,24.44µm
_0556_,24.38µm
_0266_,24.36µm
net23,24.36µm
_0641_,24.34µm
net40,24.3µm
net231,24.3µm
_0803_,24.26µm
div_inst.counter\[20\],24.16µm
_0600_,24.12µm
_0911_,24.06µm
_0195_,24.04µm
net4,24µm
_0239_,23.86µm
_0598_,23.84µm
div_inst.counter\[25\],23.84µm
_0428_,23.82µm
_0187_,23.8µm
_0553_,23.74µm
_0868_,23.73µm
_0707_,23.72µm
lf_inst.zero_error_count\[0\],23.7µm
_0369_,23.64µm
net90,23.58µm
_0997_,23.56µm
net272,23.56µm
_0436_,23.26µm
_1029_,23.26µm
net102,23.22µm
net80,23.2µm
lf_inst.zero_error_count\[3\],23.1µm
_1011_,23.08µm
lf_inst.integrator\[7\],23.02µm
lf_inst.integrator\[28\],22.94µm
_0227_,22.9µm
lf_inst.integrator\[6\],22.89µm
net31,22.85µm
pfd_inst.state\[0\],22.8µm
_0525_,22.76µm
net198,22.74µm
net8,22.66µm
net268,22.66µm
_0678_,22.62µm
_1026_,22.6µm
_0781_,22.58µm
_0662_,22.46µm
_0293_,22.32µm
_0545_,22.25µm
_1014_,22.22µm
net75,22.2µm
_0676_,22.18µm
_0985_,22.18µm
_0925_,22.12µm
dco_inst.accumulator\[9\],22.1µm
net71,22.1µm
_0979_,22.06µm
net7,22.05µm
net76,22.02µm
_0882_,21.94µm
_0601_,21.9µm
_0967_,21.84µm
_0273_,21.76µm
_0388_,21.7µm
_0509_,21.7µm
_0236_,21.68µm
net276,21.68µm
_0946_,21.63µm
_0672_,21.58µm
_0511_,21.46µm
_1007_,21.46µm
net81,21.42µm
_1009_,21.4µm
net125,21.34µm
_0530_,21.24µm
dco_inst.accumulator\[8\],21.22µm
_0522_,21.2µm
net58,21.2µm
net5,21.18µm
net229,20.96µm
_0992_,20.92µm
_0170_,20.9µm
_0517_,20.9µm
div_inst.counter\[0\],20.88µm
_0741_,20.84µm
div_inst.counter\[16\],20.84µm
net79,20.84µm
_0352_,20.78µm
_0668_,20.78µm
_0908_,20.74µm
_1001_,20.72µm
_0291_,20.69µm
_0616_,20.56µm
_0163_,20.52µm
_0209_,20.42µm
net214,20.4µm
net224,20.38µm
net88,20.36µm
net19,20.34µm
net87,20.32µm
net47,20.3µm
net6,20.28µm
pfd_inst.state\[2\],20.22µm
_0839_,20.18µm
_0623_,20.14µm
_0607_,20.13µm
_0473_,20.12µm
_0999_,20.12µm
_0547_,20.04µm
_0772_,20.02µm
net267,19.92µm
_1020_,19.88µm
net29,19.8µm
_0842_,19.78µm
net270,19.76µm
_0869_,19.72µm
_0670_,19.68µm
net73,19.68µm
_0594_,19.62µm
div_inst.counter\[23\],19.59µm
net280,19.56µm
_0984_,19.55µm
_0581_,19.54µm
_0990_,19.54µm
_1003_,19.52µm
_0870_,19.5µm
_0585_,19.46µm
_0342_,19.42µm
net96,19.42µm
_0229_,19.38µm
_0938_,19.36µm
_0664_,19.34µm
_0179_,19.3µm
unlock_timer\[5\],19.28µm
unlock_timer\[0\],19.26µm
_0861_,19.22µm
_0283_,19.14µm
net32,19.1µm
_0240_,19.04µm
_0765_,19.04µm
_0256_,18.91µm
_0302_,18.9µm
net60,18.9µm
net57,18.86µm
_0268_,18.82µm
dynamic_kp\[2\],18.68µm
_0821_,18.58µm
lf_inst.integrator\[17\],18.58µm
_0439_,18.56µm
_0421_,18.5µm
net212,18.48µm
_0836_,18.42µm
net262,18.41µm
unlock_timer\[1\],18.38µm
_0327_,18.28µm
_0405_,18.2µm
_0982_,18.18µm
lf_inst.integrator\[2\],18.16µm
lf_inst.integrator\[21\],18.15µm
_0548_,18.08µm
unlock_timer\[3\],18.04µm
net207,18µm
_0367_,17.94µm
_0189_,17.9µm
_0846_,17.86µm
_0627_,17.78µm
_0630_,17.75µm
_0320_,17.72µm
_0395_,17.7µm
_0220_,17.64µm
div_inst.counter\[4\],17.64µm
div_inst.counter\[2\],17.62µm
lf_inst.integrator\[29\],17.6µm
_0378_,17.54µm
pfd_inst.ref_sync\[1\],17.52µm
_0557_,17.48µm
_0768_,17.4µm
lf_inst.integrator\[1\],17.38µm
_0241_,17.32µm
_0184_,17.24µm
_0570_,17.22µm
div_inst.counter\[7\],17.12µm
_0722_,17.1µm
div_inst.counter\[13\],17.06µm
_0383_,16.98µm
net48,16.88µm
net77,16.86µm
_0541_,16.78µm
net39,16.78µm
net115,16.66µm
_0558_,16.64µm
net21,16.64µm
_0566_,16.58µm
_0745_,16.58µm
net243,16.58µm
_0669_,16.56µm
_0285_,16.54µm
_0712_,16.52µm
_0333_,16.5µm
net176,16.48µm
_0324_,16.4µm
_0989_,16.4µm
div_inst.counter\[15\],16.4µm
_0959_,16.3µm
net28,16.28µm
_0950_,16.22µm
div_inst.counter\[12\],16.22µm
_0404_,16.18µm
_0691_,16.18µm
_0332_,16.12µm
dynamic_ki\[2\],16.06µm
_0329_,16.045µm
net208,15.94µm
_0771_,15.92µm
_0778_,15.92µm
_0274_,15.86µm
dco_inst.accumulator\[0\],15.86µm
dco_inst.accumulator\[27\],15.86µm
_0537_,15.85µm
_0798_,15.76µm
lf_inst.integrator\[10\],15.72µm
net116,15.7µm
_0458_,15.68µm
net104,15.68µm
net41,15.6µm
_0595_,15.58µm
_0160_,15.56µm
_0988_,15.56µm
_0626_,15.5µm
_0471_,15.44µm
_0728_,15.44µm
lf_inst.integrator\[11\],15.44µm
net223,15.44µm
_0153_,15.4µm
_0391_,15.4µm
net46,15.4µm
_0779_,15.36µm
_0212_,15.34µm
_0507_,15.34µm
_0579_,15.34µm
_0639_,15.32µm
_0182_,15.28µm
_0339_,15.26µm
_0516_,15.26µm
_0222_,15.22µm
_0689_,15.08µm
lf_inst.zero_error_count\[1\],15.05µm
_0341_,15.03µm
_0640_,15.02µm
_0739_,15.02µm
_1030_,15.02µm
_0345_,14.98µm
_0880_,14.96µm
_0610_,14.9µm
_0800_,14.88µm
_0679_,14.86µm
_0617_,14.84µm
_1027_,14.84µm
_0814_,14.82µm
_0487_,14.78µm
_0397_,14.72µm
_0412_,14.72µm
net206,14.72µm
initial_freq[1],14.7µm
_0484_,14.655µm
_0694_,14.64µm
lf_inst.integrator\[18\],14.64µm
_0168_,14.62µm
_0215_,14.62µm
_0468_,14.62µm
_0191_,14.6µm
net63,14.58µm
_0280_,14.56µm
_0328_,14.5µm
net38,14.48µm
_0755_,14.47µm
_0380_,14.46µm
_0518_,14.46µm
_1019_,14.46µm
pfd_inst.fb_sync\[1\],14.46µm
net284,14.44µm
_0477_,14.42µm
_0549_,14.42µm
_0993_,14.38µm
_0343_,14.34µm
_0449_,14.34µm
div_inst.counter\[31\],14.32µm
_0178_,14.26µm
_0568_,14.24µm
net241,14.24µm
_0684_,14.22µm
net273,14.2µm
_0646_,14.18µm
_0536_,14.14µm
_0714_,14.14µm
_0289_,14.1µm
_0654_,14.08µm
_0685_,14.08µm
_0202_,14.06µm
dco_inst.accumulator\[22\],14.02µm
_0929_,14µm
_0340_,13.96µm
_0788_,13.96µm
_0486_,13.95µm
_0824_,13.94µm
_0713_,13.92µm
_0359_,13.86µm
_0246_,13.8µm
_0817_,13.76µm
_0048_,13.725µm
_0254_,13.72µm
net18,13.72µm
_0205_,13.66µm
_0539_,13.64µm
net193,13.56µm
_0233_,13.48µm
_0417_,13.46µm
_0430_,13.46µm
_0580_,13.46µm
dco_inst.accumulator\[1\],13.34µm
unlock_timer\[2\],13.34µm
_0784_,13.3µm
net266,13.29µm
_1015_,13.24µm
_0450_,13.2µm
_0299_,13.18µm
_0375_,13.18µm
_0859_,13.18µm
_0335_,13.175µm
_0631_,13.175µm
_0495_,13.16µm
_0698_,13.06µm
_0218_,13.04µm
_0879_,13.04µm
net53,13.04µm
_0756_,13.02µm
_0825_,13µm
_0177_,12.98µm
_0287_,12.98µm
_0710_,12.98µm
_0569_,12.94µm
_0725_,12.94µm
_0279_,12.92µm
_0602_,12.9µm
_0787_,12.88µm
_0840_,12.88µm
div_inst.counter\[29\],12.88µm
_0067_,12.785µm
_0482_,12.78µm
_0382_,12.76µm
_0752_,12.74µm
_0632_,12.735µm
_0317_,12.72µm
_0271_,12.68µm
_0041_,12.625µm
_0805_,12.62µm
_0432_,12.58µm
net245,12.58µm
_0830_,12.54µm
net145,12.54µm
_0475_,12.52µm
_0385_,12.5µm
_0618_,12.45µm
_0764_,12.36µm
_0296_,12.305µm
_0958_,12.175µm
_0192_,12.16µm
unlock_timer\[4\],12.16µm
net140,12.16µm
_0151_,12.14µm
_0447_,12.12µm
_0983_,12.1µm
net278,12.06µm
_0952_,12.04µm
_0936_,12.02µm
_0659_,11.98µm
_0665_,11.98µm
_0671_,11.98µm
_0543_,11.96µm
_0158_,11.94µm
_0394_,11.92µm
_0418_,11.88µm
_0532_,11.88µm
_1028_,11.86µm
_0249_,11.8µm
initial_freq[6],11.78µm
net129,11.78µm
dco_inst.accumulator\[5\],11.74µm
_0554_,11.72µm
_0737_,11.72µm
net100,11.7µm
_0413_,11.66µm
_0534_,11.66µm
_0330_,11.645µm
_0301_,11.62µm
_0723_,11.62µm
_0304_,11.58µm
_0767_,11.58µm
_0322_,11.51µm
_0892_,11.5µm
_0683_,11.42µm
_0472_,11.4µm
_0932_,11.4µm
_0353_,11.36µm
_0381_,11.33µm
_0562_,11.32µm
_0290_,11.24µm
_0709_,11.24µm
_0934_,11.24µm
_0907_,11.2µm
_0957_,11.16µm
dco_inst.accumulator\[17\],11.16µm
dco_inst.accumulator\[23\],11.16µm
net210,11.14µm
_0500_,11.1µm
_0828_,11.08µm
net135,11.08µm
_0288_,11.06µm
initial_freq[2],11.02µm
initial_freq[8],11.02µm
_0479_,10.98µm
_0505_,10.975µm
_0186_,10.9µm
_0877_,10.88µm
_0590_,10.86µm
_0927_,10.84µm
_1023_,10.84µm
_0476_,10.78µm
debug_dco_word[2],10.78µm
_0298_,10.76µm
_0650_,10.76µm
_0762_,10.74µm
_0906_,10.74µm
net59,10.72µm
_0597_,10.7µm
_0363_,10.66µm
div_val[25],10.66µm
div_val[27],10.66µm
div_val[28],10.66µm
div_val[29],10.66µm
div_val[30],10.66µm
initial_freq[25],10.66µm
initial_freq[26],10.66µm
initial_freq[27],10.66µm
initial_freq[29],10.66µm
initial_freq[31],10.66µm
_0529_,10.64µm
_0454_,10.62µm
_0677_,10.58µm
initial_freq[4],10.56µm
_0373_,10.54µm
_0155_,10.52µm
lf_inst.integrator\[9\],10.5µm
_0481_,10.48µm
_0337_,10.46µm
_0699_,10.46µm
_0759_,10.44µm
_0608_,10.42µm
dco_inst.accumulator\[12\],10.42µm
_0079_,10.4µm
_0423_,10.32µm
_0282_,10.24µm
_0552_,10.24µm
_0696_,10.16µm
_0866_,10.12µm
_0731_,10.1µm
_0148_,10.075µm
_0051_,10.065µm
_0143_,10.045µm
_0757_,10.04µm
pfd_inst.state\[1\],10.04µm
_0776_,10µm
_0453_,9.98µm
_0690_,9.98µm
_0366_,9.94µm
_0652_,9.94µm
lf_inst.integrator\[30\],9.92µm
_0587_,9.9µm
_0315_,9.88µm
net2,9.88µm
_0743_,9.86µm
_0460_,9.84µm
_0963_,9.84µm
_0257_,9.82µm
_0314_,9.78µm
_0700_,9.78µm
_0490_,9.74µm
_0758_,9.74µm
_0785_,9.74µm
div_val[26],9.74µm
initial_freq[28],9.74µm
initial_freq[30],9.74µm
_0740_,9.72µm
_0953_,9.685µm
_0843_,9.68µm
_0746_,9.66µm
_0956_,9.66µm
_0387_,9.64µm
_0998_,9.64µm
initial_freq[0],9.64µm
initial_freq[12],9.64µm
initial_freq[5],9.64µm
initial_freq[7],9.64µm
initial_freq[9],9.64µm
_0415_,9.62µm
lf_inst.zero_error_count\[4\],9.62µm
_0172_,9.6µm
_1022_,9.6µm
_0066_,9.585µm
_0996_,9.58µm
_0849_,9.54µm
net334,9.52µm
_0351_,9.5µm
_0444_,9.5µm
_0786_,9.48µm
net298,9.48µm
_0180_,9.44µm
_0429_,9.42µm
_0796_,9.42µm
_0208_,9.4µm
_0156_,9.38µm
_0848_,9.38µm
_0194_,9.34µm
_0235_,9.32µm
_0310_,9.26µm
_0567_,9.24µm
net234,9.24µm
debug_dco_word[24],9.18µm
debug_dco_word[25],9.18µm
debug_dco_word[26],9.18µm
debug_dco_word[27],9.18µm
debug_dco_word[28],9.18µm
debug_dco_word[29],9.18µm
debug_dco_word[30],9.18µm
debug_dco_word[31],9.18µm
_0149_,9.16µm
_0656_,9.14µm
_0224_,9.12µm
_0533_,9.1µm
_0875_,9.04µm
_0588_,9.02µm
_0034_,8.985µm
debug_dco_word[6],8.96µm
debug_dco_word[9],8.96µm
lock_detect,8.96µm
_0064_,8.925µm
_0718_,8.92µm
_0226_,8.9µm
_0243_,8.9µm
dco_inst.accumulator\[28\],8.9µm
_0810_,8.86µm
_0619_,8.82µm
_0633_,8.82µm
_0693_,8.78µm
_0816_,8.78µm
_0440_,8.74µm
_0751_,8.74µm
_0467_,8.72µm
initial_freq[10],8.72µm
initial_freq[11],8.72µm
initial_freq[3],8.72µm
_0485_,8.7µm
_0551_,8.7µm
_0811_,8.7µm
net287,8.66µm
_0295_,8.645µm
_0582_,8.62µm
div_val[20],8.61µm
_0531_,8.56µm
_0589_,8.56µm
_0407_,8.54µm
_0013_,8.525µm
_0183_,8.52µm
debug_dco_word[0],8.5µm
debug_dco_word[10],8.5µm
debug_dco_word[1],8.5µm
debug_dco_word[3],8.5µm
debug_dco_word[4],8.5µm
debug_dco_word[5],8.5µm
debug_dco_word[7],8.5µm
debug_dco_word[8],8.5µm
_0978_,8.48µm
initial_freq[16],8.47µm
_0370_,8.46µm
_0675_,8.46µm
_0225_,8.44µm
_0232_,8.44µm
_0245_,8.44µm
net133,8.44µm
_0769_,8.38µm
_0214_,8.36µm
div_val[19],8.35µm
_0131_,8.325µm
div_val[16],8.27µm
_0923_,8.265µm
_0193_,8.26µm
lf_inst.integrator\[19\],8.26µm
net316,8.26µm
net317,8.26µm
_0384_,8.24µm
_0815_,8.24µm
_0871_,8.24µm
_0176_,8.2µm
_0708_,8.2µm
_0687_,8.16µm
_0760_,8.16µm
initial_freq[23],8.15µm
_0082_,8.115µm
net247,8.1µm
_0022_,8.085µm
_0480_,8.06µm
_0019_,8.025µm
ref_clk,8.01µm
_0347_,8µm
_0704_,8µm
_0419_,7.98µm
_0593_,7.98µm
_0624_,7.98µm
dco_inst.accumulator\[29\],7.98µm
net20,7.98µm
_0576_,7.96µm
net197,7.92µm
_0773_,7.9µm
net318,7.9µm
_1021_,7.88µm
net332,7.86µm
_0822_,7.84µm
initial_freq[17],7.83µm
_0456_,7.82µm
net313,7.8µm
_0069_,7.78µm
_0318_,7.78µm
_0334_,7.78µm
_0442_,7.78µm
_0972_,7.78µm
lf_inst.integrator\[31\],7.74µm
_0976_,7.68µm
_0682_,7.66µm
_0890_,7.66µm
_0433_,7.64µm
net338,7.64µm
_0826_,7.62µm
_0129_,7.605µm
_0797_,7.58µm
_0058_,7.565µm
_0360_,7.56µm
_0735_,7.52µm
net275,7.52µm
net285,7.52µm
_0858_,7.5µm
initial_freq[13],7.47µm
_0494_,7.44µm
_0909_,7.44µm
_0895_,7.42µm
_0943_,7.42µm
_0210_,7.4µm
_0425_,7.4µm
_0750_,7.4µm
_0940_,7.38µm
div_val[18],7.35µm
div_val[8],7.35µm
initial_freq[24],7.35µm
_0944_,7.34µm
net320,7.34µm
_0634_,7.32µm
_0917_,7.32µm
_1013_,7.32µm
dco_inst.accumulator\[3\],7.32µm
_0732_,7.26µm
_0400_,7.24µm
_0492_,7.22µm
_0563_,7.22µm
_0004_,7.2µm
_0673_,7.2µm
_0742_,7.2µm
_0648_,7.18µm
_0780_,7.18µm
_0806_,7.18µm
_0068_,7.165µm
_0115_,7.145µm
_0308_,7.1µm
_0701_,7.1µm
net308,7.1µm
_0276_,7.08µm
_0667_,7.08µm
_0262_,7.06µm
_0900_,7.06µm
_0930_,7.06µm
net315,7.06µm
_0841_,7.04µm
_0030_,7.025µm
_0791_,7µm
_0037_,6.98µm
_0197_,6.98µm
_0455_,6.96µm
lf_inst.sample_en,6.96µm
_0124_,6.945µm
net309,6.94µm
_0526_,6.92µm
_0686_,6.92µm
div_val[23],6.91µm
_0628_,6.9µm
_0014_,6.885µm
_0221_,6.84µm
lf_inst.integrator\[3\],6.84µm
net307,6.84µm
_0127_,6.825µm
_0251_,6.82µm
_0715_,6.82µm
net312,6.8µm
_0801_,6.78µm
_0175_,6.76µm
_0346_,6.76µm
_0761_,6.76µm
_0766_,6.76µm
_1005_,6.76µm
_0657_,6.74µm
_0681_,6.74µm
_0173_,6.72µm
_0204_,6.72µm
_0571_,6.72µm
_0716_,6.72µm
_0729_,6.72µm
_0954_,6.72µm
dco_inst.accumulator\[30\],6.72µm
pfd_inst.fb_sync\[2\],6.72µm
_0052_,6.685µm
_0088_,6.66µm
_0855_,6.66µm
_0278_,6.64µm
_0738_,6.64µm
_0980_,6.64µm
dco_inst.accumulator\[4\],6.64µm
_0313_,6.6µm
_0647_,6.6µm
_0783_,6.6µm
_0263_,6.54µm
_0316_,6.52µm
_0782_,6.52µm
_0862_,6.52µm
_0459_,6.5µm
_0546_,6.5µm
dco_inst.accumulator\[25\],6.5µm
_0128_,6.485µm
_0130_,6.485µm
_0141_,6.485µm
_0028_,6.465µm
_0913_,6.46µm
_0281_,6.44µm
net202,6.42µm
_0574_,6.405µm
_0854_,6.4µm
dco_inst.accumulator\[6\],6.4µm
div_val[12],6.4µm
_0572_,6.38µm
_0057_,6.365µm
_0059_,6.365µm
_0049_,6.345µm
div_val[22],6.33µm
div_val[1],6.31µm
_0196_,6.3µm
_0653_,6.3µm
_0483_,6.28µm
_0026_,6.225µm
_0464_,6.2µm
_0200_,6.18µm
_0510_,6.18µm
_0792_,6.18µm
_0819_,6.18µm
_0995_,6.18µm
_0012_,6.175µm
_0267_,6.14µm
pfd_inst.ref_sync\[2\],6.14µm
debug_dco_word[18],6.09µm
_0070_,6.065µm
_0216_,6.06µm
_0523_,6.06µm
_0614_,6.06µm
_0721_,6.06µm
_0730_,6.06µm
_0831_,6.06µm
div_val[11],6.06µm
_0020_,6.025µm
_0055_,6.025µm
_0081_,6.025µm
_0443_,6.02µm
_0726_,6.02µm
div_val[10],5.97µm
div_val[31],5.97µm
div_val[3],5.97µm
initial_freq[22],5.97µm
_0294_,5.96µm
_0474_,5.96µm
net314,5.96µm
_0524_,5.945µm
_0951_,5.94µm
_0305_,5.935µm
_0615_,5.9µm
_0820_,5.9µm
_0461_,5.88µm
_0538_,5.86µm
_0361_,5.84µm
net333,5.84µm
_0174_,5.82µm
_0292_,5.8µm
_0463_,5.8µm
dco_inst.accumulator\[15\],5.8µm
_0309_,5.78µm
_0050_,5.765µm
_0053_,5.765µm
debug_dco_word[12],5.75µm
debug_dco_word[16],5.75µm
debug_dco_word[20],5.75µm
pll_out,5.75µm
_0535_,5.72µm
_0638_,5.72µm
net33,5.72µm
net336,5.72µm
_0942_,5.68µm
_0991_,5.68µm
net311,5.68µm
_0514_,5.64µm
div_val[2],5.63µm
net286,5.62µm
_0219_,5.58µm
_0409_,5.58µm
_0561_,5.56µm
_0093_,5.555µm
_0097_,5.545µm
_0181_,5.52µm
_0573_,5.48µm
_0137_,5.475µm
_0736_,5.4µm
div_val[9],5.38µm
_0063_,5.365µm
_0808_,5.355µm
_0154_,5.34µm
_0312_,5.34µm
_0528_,5.34µm
_0720_,5.34µm
net119,5.34µm
_0622_,5.31µm
div_val[13],5.29µm
div_val[5],5.29µm
initial_freq[18],5.29µm
dco_inst.accumulator\[14\],5.26µm
_0688_,5.235µm
_0258_,5.22µm
_0435_,5.22µm
_0860_,5.22µm
_0902_,5.16µm
dco_inst.accumulator\[11\],5.14µm
_0000_,5.085µm
_0031_,5.085µm
debug_dco_word[11],5.07µm
debug_dco_word[13],5.07µm
debug_dco_word[14],5.07µm
debug_dco_word[19],5.07µm
