net,length_um
clknet_0_sys_clk,307.37µm
net174,159.085µm
net251,149.34µm
net238,140.3µm
net169,136.86µm
net147,136.34µm
sys_clk,132.19µm
net227,128.47µm
clknet_4_0_0_sys_clk,128.06µm
net106,121.19µm
net132,116.72µm
net246,111.54µm
_0365_,110.8µm
net171,106.2µm
net261,104.9µm
net228,102.9µm
net260,101.04µm
clknet_4_15_0_sys_clk,99.96µm
net258,99.1µm
net248,97.545µm
clknet_4_14_0_sys_clk,97.22µm
clknet_4_8_0_sys_clk,96.3µm
clknet_4_5_0_sys_clk,95.98µm
net99,95.78µm
_0968_,95.22µm
net158,95.015µm
net109,94.96µm
net170,93.32µm
net226,93.26µm
clknet_4_1_0_sys_clk,92.63µm
net257,91.96µm
net259,90.54µm
net182,90.02µm
_0364_,89.74µm
net178,87.285µm
net222,86.9µm
net142,84.9µm
clknet_4_6_0_sys_clk,84.88µm
net236,82.68µm
net130,82.2µm
clknet_4_12_0_sys_clk,81.7µm
clknet_4_2_0_sys_clk,79.4µm
net237,78.4µm
net78,78.1µm
clknet_4_13_0_sys_clk,77.835µm
net217,77.44µm
net172,76.645µm
net249,76.32µm
net160,75.75µm
net213,75.56µm
clknet_4_11_0_sys_clk,74.96µm
net220,74.29µm
net168,73.79µm
_0584_,73.73µm
net101,73.48µm
net138,73.18µm
_0434_,72.88µm
clknet_4_10_0_sys_clk,72.79µm
net159,72.54µm
net155,71.02µm
_0613_,70.4µm
net244,70.38µm
clknet_4_4_0_sys_clk,70.32µm
net180,70.255µm
net239,69.3µm
clknet_4_9_0_sys_clk,68.84µm
net49,68.8µm
net156,68.425µm
net230,68.14µm
net166,67.96µm
net148,66.625µm
net167,66.32µm
net165,66µm
net242,65.28µm
net232,64.84µm
_0955_,63.64µm
net163,62.88µm
net103,62.84µm
net225,62.72µm
_0977_,61.96µm
net252,61.85µm
net211,61µm
net255,60.52µm
_0544_,60.36µm
net190,59.735µm
net254,59.62µm
net152,58.645µm
net149,57.845µm
net162,57.67µm
net146,56.46µm
net154,54.835µm
lf_inst.error_in\[1\],54.7µm
lf_inst.integrator\[13\],54.7µm
net215,54.64µm
_0228_,54.06µm
_0804_,53.54µm
net199,52.78µm
net256,52.54µm
clknet_4_7_0_sys_clk,52.32µm
net175,52.225µm
_0612_,52.2µm
net161,52.03µm
net131,51.72µm
net93,51.6µm
_0898_,51.02µm
net110,50.98µm
net105,50.96µm
net139,50.13µm
net216,49.94µm
net177,49.625µm
_0897_,48.645µm
net108,48.38µm
lf_inst.integrator\[12\],48.2µm
_0234_,48.16µm
_0971_,48.06µm
net44,48.02µm
net35,47.615µm
_0915_,47.4µm
net150,47.24µm
net137,47.14µm
net240,46.74µm
net65,46.68µm
net25,46.04µm
net117,45.9µm
_0969_,45.74µm
net55,45.715µm
net111,45.44µm
lf_inst.integrator\[26\],45.38µm
_0921_,45.3µm
lf_inst.integrator\[4\],45.18µm
net89,45.1µm
net134,44.34µm
_0403_,44.2µm
_0919_,44.08µm
_0501_,43.66µm
net200,43.28µm
_0157_,43.16µm
_0201_,43.1µm
clknet_4_3_0_sys_clk,42.67µm
net221,42.46µm
_0914_,42.45µm
net233,42.42µm
net114,42.12µm
net184,42.06µm
net195,41.94µm
_0827_,41.92µm
net218,41.9µm
net192,41.86µm
net189,41.72µm
div_inst.counter\[5\],41.7µm
net24,41.64µm
net122,41.55µm
lf_inst.integrator\[20\],41.32µm
net68,41µm
net128,40.96µm
_0823_,40.78µm
net194,40.76µm
net141,40.58µm
_0833_,40.54µm
_0272_,40.5µm
_0311_,40.5µm
net83,40.3µm
net91,40.29µm
net107,39.92µm
net235,39.86µm
_0886_,39.76µm
_0834_,39.62µm
net209,39.58µm
net151,38.965µm
net144,38.635µm
_0331_,38.48µm
_0885_,38.48µm
_0899_,38.36µm
div_inst.counter\[27\],38.24µm
_0889_,38.22µm
lf_inst.integrator\[22\],38.18µm
_0199_,38.08µm
net112,37.72µm
div_inst.counter\[18\],37.56µm
_0213_,37.5µm
