Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_58_81,VGND,li1,43.4700,168.6400,0.000013
FILLER_58_69,VGND,li1,40.0200,168.6400,0.000014
FILLER_58_57,VGND,li1,34.5000,168.6400,0.000015
FILLER_58_45,VGND,li1,28.9800,168.6400,0.000016
FILLER_58_27,VGND,li1,18.1700,168.6400,0.000014
FILLER_58_15,VGND,li1,15.1800,168.6400,0.000011
FILLER_58_3,VGND,li1,9.6600,168.6400,0.000009
FILLER_57_361,VGND,li1,171.8100,168.6400,0.000001
FILLER_57_349,VGND,li1,168.8200,168.6400,0.000001
FILLER_57_337,VGND,li1,163.3000,168.6400,0.000001
FILLER_57_335,VGND,li1,159.8500,168.6400,0.000001
FILLER_57_329,VGND,li1,158.2400,168.6400,0.000001
FILLER_57_317,VGND,li1,154.1000,168.6400,0.000001
FILLER_57_305,VGND,li1,148.5800,168.6400,0.000002
FILLER_57_293,VGND,li1,143.0600,168.6400,0.000002
FILLER_57_281,VGND,li1,137.5400,168.6400,0.000003
FILLER_57_279,VGND,li1,134.0900,168.6400,0.000004
FILLER_57_273,VGND,li1,132.4800,168.6400,0.000004
FILLER_57_261,VGND,li1,128.3400,168.6400,0.000005
FILLER_57_249,VGND,li1,122.8200,168.6400,0.000008
FILLER_57_237,VGND,li1,117.3000,168.6400,0.000010
FILLER_57_225,VGND,li1,111.7800,168.6400,0.000012
FILLER_57_223,VGND,li1,108.3300,168.6400,0.000013
FILLER_57_215,VGND,li1,106.2600,168.6400,0.000013
FILLER_57_211,VGND,li1,102.8100,168.6400,0.000015
FILLER_57_202,VGND,li1,98.6700,168.6400,0.000019
FILLER_57_196,VGND,li1,97.0600,168.6400,0.000019
FILLER_57_184,VGND,li1,92.9200,168.6400,0.000022
FILLER_57_178,VGND,li1,87.6300,168.6400,0.000025
FILLER_57_172,VGND,li1,86.0200,168.6400,0.000025
FILLER_57_161,VGND,li1,80.0400,168.6400,0.000024
FILLER_57_148,VGND,li1,74.0600,168.6400,0.000018
FILLER_57_136,VGND,li1,70.8400,168.6400,0.000021
FILLER_57_124,VGND,li1,65.3200,168.6400,0.000023
FILLER_57_113,VGND,li1,58.8800,168.6400,0.000024
FILLER_57_111,VGND,li1,56.8100,168.6400,0.000023
FILLER_57_104,VGND,li1,54.2800,168.6400,0.000022
FILLER_57_98,VGND,li1,51.0600,168.6400,0.000021
FILLER_57_90,VGND,li1,48.7600,168.6400,0.000018
FILLER_57_69,VGND,li1,40.0200,168.6400,0.000014
FILLER_57_57,VGND,li1,34.5000,168.6400,0.000015
FILLER_57_55,VGND,li1,31.0500,168.6400,0.000015
FILLER_57_43,VGND,li1,28.0600,168.6400,0.000016
FILLER_57_31,VGND,li1,22.5400,168.6400,0.000016
FILLER_57_15,VGND,li1,12.6500,168.6400,0.000009
FILLER_57_3,VGND,li1,9.6600,168.6400,0.000009
FILLER_56_361,VGND,li1,171.8100,163.2000,0.000001
FILLER_56_357,VGND,li1,170.6600,163.2000,0.000001
FILLER_56_345,VGND,li1,166.9800,163.2000,0.000001
FILLER_56_333,VGND,li1,161.4600,163.2000,0.000002
FILLER_56_321,VGND,li1,155.9400,163.2000,0.000002
FILLER_56_309,VGND,li1,150.4200,163.2000,0.000003
FILLER_56_307,VGND,li1,146.9700,163.2000,0.000003
FILLER_56_301,VGND,li1,145.3600,163.2000,0.000003
FILLER_56_289,VGND,li1,141.2200,163.2000,0.000004
FILLER_56_277,VGND,li1,135.7000,163.2000,0.000004
FILLER_56_265,VGND,li1,130.1800,163.2000,0.000007
FILLER_56_253,VGND,li1,124.6600,163.2000,0.000011
FILLER_56_251,VGND,li1,121.2100,163.2000,0.000013
FILLER_56_243,VGND,li1,119.1400,163.2000,0.000015
FILLER_56_231,VGND,li1,114.5400,163.2000,0.000017
FILLER_56_221,VGND,li1,107.8700,163.2000,0.000019
FILLER_56_209,VGND,li1,104.4200,163.2000,0.000015
FILLER_56_197,VGND,li1,98.9000,163.2000,0.000020
FILLER_56_195,VGND,li1,95.4500,163.2000,0.000022
FILLER_56_191,VGND,li1,94.3000,163.2000,0.000024
FILLER_56_176,VGND,li1,89.2400,163.2000,0.000023
FILLER_56_164,VGND,li1,83.7200,163.2000,0.000022
FILLER_56_152,VGND,li1,78.2000,163.2000,0.000021
FILLER_56_146,VGND,li1,73.1400,163.2000,0.000018
FILLER_56_139,VGND,li1,69.6900,163.2000,0.000019
FILLER_56_133,VGND,li1,68.0800,163.2000,0.000021
FILLER_56_121,VGND,li1,63.9400,163.2000,0.000021
FILLER_56_109,VGND,li1,58.4200,163.2000,0.000020
FILLER_56_97,VGND,li1,52.9000,163.2000,0.000020
FILLER_56_85,VGND,li1,47.3800,163.2000,0.000017
FILLER_56_79,VGND,li1,42.3200,163.2000,0.000016
FILLER_56_67,VGND,li1,39.1000,163.2000,0.000018
FILLER_56_51,VGND,li1,30.8200,163.2000,0.000021
FILLER_56_37,VGND,li1,23.2300,163.2000,0.000019
FILLER_56_29,VGND,li1,20.7000,163.2000,0.000018
FILLER_56_27,VGND,li1,18.1700,163.2000,0.000016
FILLER_56_11,VGND,li1,11.2700,163.2000,0.000012
FILLER_56_3,VGND,li1,8.7400,163.2000,0.000013
FILLER_55_361,VGND,li1,171.8100,163.2000,0.000001
FILLER_55_349,VGND,li1,168.8200,163.2000,0.000001
FILLER_55_337,VGND,li1,163.3000,163.2000,0.000001
FILLER_55_335,VGND,li1,159.8500,163.2000,0.000002
FILLER_55_317,VGND,li1,153.1800,163.2000,0.000003
FILLER_55_305,VGND,li1,148.5800,163.2000,0.000003
FILLER_55_293,VGND,li1,143.0600,163.2000,0.000004
FILLER_55_281,VGND,li1,137.5400,163.2000,0.000004
FILLER_55_274,VGND,li1,132.9400,163.2000,0.000005
FILLER_55_262,VGND,li1,128.8000,163.2000,0.000007
FILLER_55_250,VGND,li1,123.2800,163.2000,0.000011
FILLER_55_238,VGND,li1,117.7600,163.2000,0.000015
FILLER_55_215,VGND,li1,104.6500,163.2000,0.000015
FILLER_55_209,VGND,li1,101.8900,163.2000,0.000018
FILLER_55_203,VGND,li1,100.2800,163.2000,0.000018
FILLER_55_181,VGND,li1,89.0100,163.2000,0.000023
FILLER_55_169,VGND,li1,86.0200,163.2000,0.000022
FILLER_55_149,VGND,li1,74.7500,163.2000,0.000016
FILLER_55_124,VGND,li1,62.7900,163.2000,0.000021
FILLER_55_118,VGND,li1,61.1800,163.2000,0.000021
FILLER_55_111,VGND,li1,56.8100,163.2000,0.000020
FILLER_55_105,VGND,li1,55.2000,163.2000,0.000020
FILLER_55_85,VGND,li1,45.5400,163.2000,0.000014
FILLER_55_73,VGND,li1,41.8600,163.2000,0.000016
FILLER_55_44,VGND,li1,28.5200,163.2000,0.000021
FILLER_55_32,VGND,li1,20.9300,163.2000,0.000018
FILLER_55_26,VGND,li1,17.7100,163.2000,0.000014
FILLER_55_22,VGND,li1,16.5600,163.2000,0.000014
FILLER_55_10,VGND,li1,12.8800,163.2000,0.000012
FILLER_54_354,VGND,li1,170.2000,157.7600,0.000006
FILLER_54_342,VGND,li1,165.6000,157.7600,0.000006
FILLER_54_324,VGND,li1,155.0200,157.7600,0.000011
FILLER_54_316,VGND,li1,152.7200,157.7600,0.000012
FILLER_54_307,VGND,li1,146.9700,157.7600,0.000013
FILLER_54_301,VGND,li1,145.3600,157.7600,0.000013
FILLER_54_289,VGND,li1,141.2200,157.7600,0.000012
FILLER_54_277,VGND,li1,135.7000,157.7600,0.000011
FILLER_54_265,VGND,li1,130.1800,157.7600,0.000014
FILLER_54_253,VGND,li1,124.6600,157.7600,0.000020
FILLER_54_249,VGND,li1,120.7500,157.7600,0.000022
FILLER_54_241,VGND,li1,118.2200,157.7600,0.000024
FILLER_54_224,VGND,li1,108.7900,157.7600,0.000022
FILLER_54_220,VGND,li1,107.6400,157.7600,0.000022
FILLER_54_203,VGND,li1,99.1300,157.7600,0.000023
FILLER_54_197,VGND,li1,96.3700,157.7600,0.000024
FILLER_54_193,VGND,li1,94.9900,157.7600,0.000025
FILLER_54_189,VGND,li1,92.6900,157.7600,0.000025
FILLER_54_161,VGND,li1,80.0400,157.7600,0.000022
