net,length_um
clknet_0_sys_clk,474.46µm
net351,280.76µm
sys_clk,246.87µm
net347,212.29µm
net212,193.91µm
net327,193.3µm
net219,178.13µm
clknet_4_2_0_sys_clk,170.77µm
net111,169.83µm
net215,166.93µm
net230,165.86µm
clknet_4_8_0_sys_clk,165.4µm
net335,161.33µm
clknet_4_10_0_sys_clk,160.97µm
net209,156.24µm
net323,151.76µm
clknet_4_6_0_sys_clk,147.48µm
net225,143.97µm
net147,143.56µm
net342,142.8µm
net345,141.83µm
net192,141.73µm
net352,141.73µm
net241,139.54µm
net90,133.99µm
_1128_,129.92µm
net107,127.22µm
net350,126.61µm
clknet_4_1_0_sys_clk,126.25µm
net103,125.59µm
net292,125.49µm
clknet_4_14_0_sys_clk,125.13µm
clknet_4_0_0_sys_clk,125.03µm
net348,124.6µm
_0471_,124.37µm
net87,123.35µm
net297,122.64µm
net333,122.18µm
net210,121.62µm
net332,121.01µm
net91,119.38µm
clknet_4_13_0_sys_clk,118.87µm
clknet_4_12_0_sys_clk,118.26µm
clknet_4_3_0_sys_clk,117.29µm
net220,116.48µm
net316,115.97µm
net322,115.97µm
net208,115.92µm
net132,115.51µm
net294,114.9µm
net105,113.88µm
clknet_4_5_0_sys_clk,113.83µm
clknet_4_15_0_sys_clk,112.71µm
net104,111.03µm
clknet_4_7_0_sys_clk,109.91µm
net193,109.86µm
net57,109.76µm
net99,109.3µm
net268,108.08µm
_0759_,107.21µm
net206,106.09µm
net223,105.38µm
net341,104.87µm
net324,104.31µm
net291,103.24µm
net337,103.19µm
net199,102.73µm
net331,102.63µm
clknet_4_9_0_sys_clk,102.63µm
net56,98.56µm
net227,98.05µm
clknet_4_4_0_sys_clk,98.05µm
net218,97.44µm
net325,96.47µm
net318,96.01µm
net229,94.69µm
net330,94.46µm
net346,94.23µm
net240,94.08µm
net281,91.94µm
_0773_,89.75µm
net326,88.07µm
net319,88.02µm
net313,86.34µm
net289,86.24µm
net198,85.78µm
net334,84.61µm
net106,83.49µm
net6,83.03µm
net221,82.47µm
net191,82.42µm
