net,length_um
lf_inst.error_in\[0\],82.37µm
net189,81.96µm
net340,81.86µm
net143,81.3µm
clknet_4_11_0_sys_clk,81.25µm
net232,80.64µm
net88,80.18µm
net188,80.18µm
_0987_,80.13µm
net217,79.67µm
net110,79.57µm
net259,79.16µm
net200,79.11µm
net317,78.96µm
net207,78.4µm
net265,77.99µm
net239,77.94µm
net231,77.89µm
net138,77.84µm
net89,76.82µm
net194,76.31µm
_0960_,76.16µm
net301,75.19µm
net167,74.48µm
net144,74.12µm
_0689_,74.07µm
_0372_,73.56µm
_0592_,73.46µm
_0993_,73.41µm
net300,72.95µm
net226,72.39µm
net146,71.78µm
net181,71.78µm
net44,71.68µm
net305,71.37µm
net54,71.17µm
net320,70.71µm
net314,69.54µm
net295,69.49µm
_0673_,68.47µm
_0761_,68.37µm
net43,68.37µm
_0599_,67.91µm
net284,67.91µm
net129,67.76µm
net171,67.76µm
net195,67.76µm
net101,67.35µm
lf_inst.integrator\[18\],67.25µm
div_inst.counter\[27\],66.79µm
net7,66.74µm
net120,66.23µm
_0203_,66.13µm
_0464_,66.13µm
_1026_,66.13µm
net302,65.67µm
net205,65.62µm
_0177_,65.01µm
net236,64.5µm
_1122_,64.45µm
net336,64.45µm
net343,64.45µm
net53,64.4µm
net34,63.89µm
net228,63.89µm
_0170_,63.33µm
_0229_,63.28µm
net124,63.28µm
net222,62.87µm
net170,62.82µm
_0970_,62.77µm
net96,62.77µm
_0469_,62.72µm
_0238_,62.31µm
_0506_,62.26µm
net78,62.21µm
lf_inst.integrator\[8\],61.75µm
net5,61.7µm
net117,61.7µm
_0169_,61.65µm
net128,61.14µm
net204,61.14µm
net279,61.14µm
net30,61.09µm
_0793_,61.04µm
_1072_,60.63µm
net32,60.58µm
_0959_,60.48µm
net213,60.48µm
net31,60.07µm
net119,60.07µm
net82,60.02µm
net321,59.97µm
lf_inst.integrator\[22\],59.51µm
net40,58.95µm
net296,58.8µm
net118,58.34µm
net311,58.29µm
_1063_,57.73µm
net86,57.27µm
net197,57.22µm
_0996_,57.12µm
net224,56.66µm
net237,56.66µm
_0542_,56.61µm
net290,56.61µm
_1105_,56.56µm
net112,56.56µm
_0211_,56.1µm
net14,56.05µm
net19,56µm
net328,56µm
net183,55.64µm
net29,55.54µm
net36,55.03µm
net17,54.98µm
net196,54.98µm
net254,54.98µm
lf_inst.integrator\[25\],54.93µm
net4,54.93µm
_0564_,54.47µm
net244,54.47µm
net339,54.42µm
net263,53.96µm
_0988_,53.86µm
net163,53.81µm
net185,53.81µm
_0718_,53.76µm
_0976_,53.3µm
net202,53.3µm
_0600_,53.25µm
net201,52.89µm
div_inst.counter\[0\],52.13µm
net261,52.13µm
_0433_,52.08µm
_1046_,52.08µm
net92,51.57µm
net338,51.57µm
_0597_,51.11µm
_0670_,51.11µm
net152,51.11µm
_0187_,51.01µm
_1062_,51.01µm
_1116_,51.01µm
net122,51.01µm
net216,51.01µm
_1111_,50.96µm
net139,50.96µm
_1077_,50.55µm
_0173_,50.45µm
_0981_,50.45µm
_0989_,50.45µm
net354,50.04µm
net275,49.99µm
net26,49.94µm
net127,49.94µm
net371,49.94µm
net154,49.89µm
net246,49.89µm
lf_inst.integrator\[20\],49.43µm
_0264_,49.38µm
lf_inst.integrator\[21\],49.38µm
_0460_,49.28µm
net252,48.97µm
net250,48.21µm
net84,47.8µm
net83,47.24µm
net25,47.14µm
net255,47.14µm
lf_inst.integrator\[28\],47.09µm
net20,47.09µm
net160,47.04µm
net186,46.73µm
_0811_,46.63µm
net214,46.58µm
_0175_,46.53µm
_0240_,46.53µm
_0949_,46.48µm
_0259_,46.12µm
net312,46.02µm
lf_inst.integrator\[23\],45.97µm
net365,45.97µm
_0217_,45.61µm
net253,45.56µm
net249,45.46µm
_0310_,45.41µm
_0195_,45.05µm
net264,44.95µm
net286,44.95µm
_0459_,44.9µm
net116,44.9µm
net242,44.9µm
div_inst.counter\[26\],44.85µm
net280,44.85µm
div_inst.counter\[15\],44.8µm
net16,44.8µm
net64,44.8µm
net303,44.64µm
_0640_,44.39µm
net109,44.39µm
net13,44.34µm
net68,44.34µm
_1090_,44.29µm
net79,43.83µm
_0294_,43.73µm
net251,43.73µm
_0967_,43.68µm
net55,43.68µm
_0560_,43.27µm
net272,43.27µm
net369,43.22µm
net293,43.17µm
_1050_,43.12µm
lf_inst.integrator\[6\],43.12µm
net168,42.94µm
net165,42.71µm
_0507_,42.66µm
net11,42.66µm
_0334_,42.61µm
net94,42.61µm
_0825_,42.56µm
_1032_,42.56µm
lf_inst.integrator\[26\],42.56µm
net235,42.15µm
net245,42.1µm
_0441_,42.05µm
_0734_,42.05µm
_0833_,42.05µm
_0819_,42µm
_0973_,41.59µm
net238,41.59µm
net285,41.59µm
_1039_,41.49µm
_0570_,41.44µm
_1086_,41.44µm
_0902_,40.98µm
_0186_,40.93µm
net77,40.93µm
_0775_,40.88µm
_0853_,40.47µm
net298,40.42µm
_0292_,40.37µm
_0296_,40.32µm
div_inst.counter\[11\],40.32µm
net41,40.32µm
_0632_,39.91µm
_0324_,39.86µm
net356,39.86µm
_0434_,39.81µm
net257,39.81µm
net372,39.4µm
_0218_,39.25µm
_0182_,39.2µm
_1000_,38.79µm
lf_inst.integrator\[3\],38.79µm
net148,38.79µm
net169,38.79µm
_0197_,38.69µm
_1107_,38.69µm
net178,38.69µm
net58,38.64µm
net260,38.64µm
net24,38.18µm
_0369_,38.13µm
_0328_,38.08µm
_0457_,38.08µm
lf_inst.integrator\[14\],37.67µm
_0805_,37.62µm
lf_inst.integrator\[10\],37.62µm
net150,37.62µm
_1052_,37.57µm
lf_inst.integrator\[7\],37.57µm
_0250_,37.52µm
_1016_,37.52µm
net367,37.52µm
_0631_,37.16µm
net161,37.11µm
_0604_,37.06µm
_0721_,37.06µm
net363,36.96µm
_0426_,36.45µm
_0891_,36.45µm
_1091_,36.45µm
div_inst.counter\[16\],36.45µm
net74,36.45µm
net180,36.45µm
_0719_,36.4µm
_0977_,36.4µm
net133,36.4µm
net203,36.4µm
net125,35.89µm
_0269_,35.33µm
_0391_,35.33µm
pfd_inst.state\[1\],35.33µm
net373,35.33µm
_0275_,35.28µm
net145,35.09µm
net93,34.87µm
_0486_,34.82µm
_0254_,34.77µm
_0356_,34.77µm
_0508_,34.77µm
_0576_,34.77µm
_1034_,34.77µm
net157,34.77µm
net362,34.77µm
net46,34.72µm
net267,34.36µm
net175,34.31µm
_0305_,34.26µm
lf_inst.integrator\[11\],34.26µm
net18,34.26µm
_0335_,34.21µm
_0342_,34.21µm
net3,34.21µm
net123,34.21µm
net366,34.21µm
net73,34.16µm
net344,34.16µm
net349,34.16µm
_1079_,33.8µm
net159,33.75µm
_0244_,33.7µm
_0702_,33.7µm
_0808_,33.7µm
net2,33.7µm
net164,33.7µm
_0586_,33.65µm
_0818_,33.65µm
_1023_,33.65µm
div_inst.counter\[28\],33.65µm
div_inst.counter\[30\],33.65µm
lf_inst.zero_error_count\[2\],33.65µm
_0953_,33.6µm
net137,33.37µm
_0829_,33.24µm
_0707_,33.19µm
_1013_,33.14µm
pfd_inst.state\[0\],33.14µm
net134,33.14µm
_0202_,33.09µm
_0282_,33.09µm
_0635_,33.09µm
_0926_,33.09µm
div_inst.counter\[23\],33.09µm
_0652_,33.04µm
_0978_,33.04µm
initial_freq[4],32.9µm
_0230_,32.86µm
div_inst.counter\[19\],32.63µm
net15,32.63µm
net359,32.63µm
_0465_,32.58µm
_0617_,32.58µm
_0813_,32.58µm
lf_inst.integrator\[12\],32.58µm
net10,32.58µm
net310,32.58µm
_0247_,32.53µm
_0691_,32.53µm
_0758_,32.53µm
_0966_,32.53µm
net353,32.53µm
_1120_,32.48µm
net70,32.07µm
_0303_,32.02µm
net142,32.02µm
net288,32.02µm
_0353_,31.97µm
_0658_,31.97µm
_0649_,31.92µm
_0662_,31.92µm
initial_freq[29],31.78µm
_0300_,31.56µm
_0283_,31.41µm
_0924_,31.41µm
_1042_,31.41µm
net95,31.41µm
net287,31.41µm
net307,31.41µm
_0602_,31.36µm
_0990_,31µm
_1092_,30.95µm
dco_inst.accumulator\[18\],30.95µm
net234,30.95µm
_0316_,30.9µm
_0533_,30.9µm
_0765_,30.85µm
net28,30.85µm
_0968_,30.8µm
net283,30.49µm
div_inst.counter\[7\],30.39µm
_0185_,30.34µm
_1009_,30.34µm
dco_inst.accumulator\[5\],30.34µm
net75,30.34µm
net361,30.34µm
_0430_,30.29µm
_0828_,30.29µm
_0422_,30.24µm
_0612_,30.24µm
_0930_,30.24µm
initial_freq[19],30.1µm
_0651_,29.93µm
net299,29.83µm
_0198_,29.78µm
net85,29.78µm
_1082_,29.73µm
net243,29.73µm
net277,29.73µm
_0223_,29.68µm
_0413_,29.68µm
_0729_,29.68µm
net45,29.68µm
pfd_inst.state\[2\],29.27µm
net269,29.27µm
_0190_,29.22µm
_0475_,29.22µm
_0020_,29.17µm
_0420_,29.17µm
_0603_,29.17µm
_1006_,29.17µm
_1029_,29.17µm
net23,29.17µm
_0591_,29.12µm
_0957_,29.12µm
net174,29.12µm
_0326_,28.76µm
_0438_,28.71µm
net247,28.71µm
_0049_,28.66µm
_1020_,28.66µm
div_inst.counter\[3\],28.66µm
net126,28.66µm
net121,28.61µm
_0836_,28.56µm
_1040_,28.56µm
div_inst.counter\[13\],28.56µm
lf_inst.error_in\[1\],28.56µm
net52,28.56µm
div_val[3],28.42µm
_0512_,28.2µm
_0578_,28.15µm
_0776_,28.15µm
net172,28.15µm
_1003_,28.1µm
div_inst.counter\[24\],28.1µm
lf_inst.integrator\[4\],28.1µm
_0407_,28.05µm
_0538_,28.05µm
_0645_,28.05µm
_1080_,28.05µm
_0171_,28µm
_0904_,28µm
_0528_,27.54µm
div_inst.counter\[25\],27.54µm
net35,27.54µm
net98,27.54µm
_0188_,27.49µm
_0647_,27.49µm
_1096_,27.49µm
dynamic_kp\[2\],27.49µm
net273,27.49µm
_1053_,27.44µm
net256,27.44µm
debug_dco_word[0],27.3µm
_0697_,27.03µm
net162,27.03µm
dco_inst.accumulator\[29\],26.98µm
_0221_,26.93µm
_0268_,26.93µm
_0480_,26.93µm
_0534_,26.93µm
lf_inst.integrator\[16\],26.93µm
net176,26.93µm
net304,26.93µm
_0774_,26.88µm
_1133_,26.88µm
net39,26.88µm
initial_freq[26],26.74µm
initial_freq[5],26.74µm
_0317_,26.52µm
_0816_,26.47µm
_1008_,26.42µm
_0477_,26.37µm
_0744_,26.37µm
_0851_,26.37µm
_0898_,26.37µm
dco_inst.accumulator\[9\],26.37µm
net135,26.37µm
net190,26.37µm
_0237_,26.32µm
_0778_,26.32µm
net136,26.32µm
net248,26.32µm
initial_freq[24],26.18µm
net278,25.91µm
_0225_,25.86µm
_0610_,25.86µm
_0969_,25.86µm
_1010_,25.86µm
dco_inst.accumulator\[19\],25.86µm
dco_inst.accumulator\[8\],25.86µm
pfd_inst.ref_sync\[1\],25.86µm
net187,25.86µm
net308,25.86µm
_0890_,25.81µm
_1019_,25.81µm
_1121_,25.81µm
net81,25.81µm
net155,25.81µm
_0541_,25.76µm
_0552_,25.76µm
_0838_,25.76µm
_0521_,25.4µm
_0370_,25.3µm
_0753_,25.3µm
net97,25.3µm
_0485_,25.25µm
lf_inst.integrator\[24\],25.25µm
unlock_timer\[0\],25.25µm
net115,25.25µm
_1088_,25.2µm
debug_dco_word[23],25.11µm
net282,24.84µm
lf_inst.integrator\[30\],24.79µm
_0234_,24.74µm
_0374_,24.74µm
_0684_,24.74µm
dco_inst.accumulator\[21\],24.74µm
dco_inst.accumulator\[22\],24.74µm
_0232_,24.69µm
_0304_,24.69µm
_0598_,24.69µm
_0696_,24.69µm
div_inst.counter\[2\],24.69µm
net38,24.69µm
net72,24.69µm
_0799_,24.64µm
_0866_,24.64µm
debug_dco_word[29],24.5µm
_0332_,24.23µm
net71,24.23µm
_0886_,24.18µm
_1141_,24.18µm
div_inst.counter\[6\],24.18µm
_0155_,24.13µm
_0307_,24.13µm
_0837_,24.13µm
_0892_,24.08µm
debug_dco_word[26],23.99µm
_0220_,23.67µm
_0473_,23.62µm
_0590_,23.62µm
_0620_,23.62µm
_0885_,23.62µm
_1056_,23.62µm
dco_inst.accumulator\[14\],23.62µm
div_inst.counter\[29\],23.62µm
_0267_,23.57µm
_0421_,23.57µm
_0566_,23.57µm
_0979_,23.57µm
_0368_,23.52µm
_0745_,23.52µm
_0997_,23.52µm
_1051_,23.52µm
initial_freq[2],23.38µm
net63,23.11µm
_0152_,23.06µm
_0711_,23.01µm
net27,23.01µm
_0382_,22.96µm
_0443_,22.96µm
net358,22.96µm
net9,22.65µm
_0338_,22.6µm
_0472_,22.6µm
_0741_,22.55µm
_0914_,22.55µm
_0306_,22.5µm
unlock_timer\[2\],22.5µm
net37,22.5µm
_0287_,22.45µm
_0412_,22.45µm
_0593_,22.45µm
dco_inst.accumulator\[6\],22.45µm
_0580_,22.4µm
_0880_,22.4µm
_0965_,22.4µm
_1078_,22.4µm
initial_freq[0],22.26µm
_1024_,22.04µm
_0663_,21.99µm
dco_inst.accumulator\[0\],21.99µm
_0279_,21.94µm
_0409_,21.94µm
_0589_,21.94µm
_0907_,21.94µm
_1069_,21.94µm
dco_inst.accumulator\[15\],21.94µm
_0325_,21.89µm
_0349_,21.89µm
_0381_,21.89µm
_0575_,21.89µm
_0757_,21.89µm
net130,21.89µm
div_inst.counter\[10\],21.84µm
net271,21.84µm
debug_dco_word[28],21.75µm
initial_freq[21],21.7µm
_0888_,21.43µm
_0975_,21.43µm
net179,21.43µm
_0510_,21.38µm
_0017_,21.33µm
_0436_,21.33µm
_0514_,21.33µm
_0624_,21.33µm
_0644_,21.33µm
_0763_,21.33µm
_0884_,21.33µm
_1070_,21.33µm
div_inst.counter\[4\],21.33µm
net276,21.33µm
_0193_,21.28µm
_0389_,21.28µm
_0901_,21.28µm
div_inst.counter\[17\],21.28µm
lf_inst.integrator\[0\],21.28µm
initial_freq[10],21.14µm
initial_freq[8],21.14µm
net355,20.92µm
_0157_,20.87µm
lf_inst.zero_error_count\[3\],20.87µm
net80,20.87µm
_0314_,20.82µm
_1083_,20.82µm
div_inst.counter\[31\],20.82µm
lf_inst.zero_error_count\[1\],20.82µm
net266,20.82µm
_0140_,20.77µm
_0713_,20.77µm
_1131_,20.77µm
div_inst.counter\[18\],20.77µm
net370,20.77µm
_0371_,20.72µm
_0706_,20.72µm
_0723_,20.72µm
div_val[7],20.58µm
initial_freq[27],20.58µm
_0814_,20.31µm
_1014_,20.31µm
_1065_,20.31µm
lf_inst.integrator\[29\],20.31µm
lf_inst.integrator\[5\],20.31µm
_0680_,20.26µm
_0856_,20.26µm
net258,20.26µm
_0025_,20.21µm
_0478_,20.21µm
_0167_,20.16µm
_0278_,20.16µm
_0449_,20.16µm
_0490_,20.16µm
_0517_,20.16µm
_0686_,20.16µm
_0986_,20.03µm
div_val[18],20.02µm
_0905_,19.75µm
_0396_,19.7µm
_0770_,19.7µm
unlock_timer\[3\],19.7µm
net233,19.7µm
net364,19.7µm
_0683_,19.65µm
_0991_,19.65µm
_1044_,19.65µm
_1074_,19.65µm
net60,19.65µm
_0823_,19.6µm
_0940_,19.6µm
net149,19.6µm
div_val[29],19.46µm
initial_freq[12],19.46µm
initial_freq[22],19.46µm
initial_freq[25],19.46µm
initial_freq[28],19.46µm
initial_freq[30],19.46µm
_0796_,19.24µm
_0214_,19.19µm
_0846_,19.14µm
_0345_,19.09µm
_0408_,19.09µm
_0488_,19.09µm
_0722_,19.09µm
_0780_,19.09µm
_0826_,19.09µm
_0733_,19.04µm
_0810_,19.04µm
_0936_,19.04µm
net22,19.04µm
debug_dco_word[24],18.9µm
debug_dco_word[3],18.9µm
div_val[31],18.9µm
div_val[4],18.9µm
div_val[5],18.9µm
div_val[6],18.9µm
initial_freq[23],18.9µm
initial_freq[6],18.9µm
net357,18.73µm
_0352_,18.63µm
_0016_,18.58µm
_0263_,18.58µm
_0361_,18.58µm
_0395_,18.58µm
_0497_,18.58µm
_0951_,18.58µm
_0998_,18.58µm
dco_inst.accumulator\[16\],18.58µm
div_inst.counter\[14\],18.58µm
_0189_,18.53µm
_0341_,18.53µm
_0945_,18.53µm
net158,18.53µm
_0205_,18.48µm
_0678_,18.48µm
net108,18.48µm
initial_freq[18],18.39µm
debug_dco_word[25],18.34µm
initial_freq[16],18.34µm
_0749_,18.02µm
_0297_,17.97µm
_0350_,17.97µm
_0820_,17.97µm
_0830_,17.97µm
_0961_,17.97µm
_1135_,17.97µm
unlock_timer\[4\],17.97µm
net306,17.97µm
_0492_,17.92µm
_0546_,17.92µm
_0831_,17.92µm
debug_dco_word[5],17.78µm
div_val[1],17.78µm
div_val[8],17.78µm
_0286_,17.51µm
div_inst.counter\[1\],17.51µm
_0442_,17.46µm
_0748_,17.46µm
_0871_,17.46µm
_0875_,17.46µm
_1139_,17.46µm
_0201_,17.41µm
_0419_,17.41µm
_0463_,17.41µm
_0715_,17.41µm
_0876_,17.41µm
lf_inst.zero_error_count\[4\],17.41µm
net360,17.41µm
_0253_,17.36µm
_0378_,17.36µm
_0380_,17.36µm
_0903_,17.36µm
_1117_,17.36µm
dco_inst.accumulator\[10\],17.36µm
net102,17.36µm
net131,17.36µm
initial_freq[1],17.22µm
initial_freq[9],17.22µm
_0595_,16.95µm
div_inst.counter\[22\],16.95µm
_0249_,16.9µm
_0585_,16.9µm
_0865_,16.9µm
dco_inst.accumulator\[30\],16.9µm
net140,16.9µm
_0026_,16.85µm
_0060_,16.85µm
_0063_,16.85µm
_0530_,16.85µm
_0669_,16.85µm
_0848_,16.85µm
_0883_,16.85µm
_0909_,16.85µm
dco_inst.accumulator\[11\],16.85µm
net69,16.85µm
net211,16.85µm
_0347_,16.8µm
_0424_,16.8µm
_0840_,16.8µm
_1075_,16.8µm
_1112_,16.8µm
net49,16.8µm
debug_dco_word[27],16.66µm
debug_dco_word[4],16.66µm
div_val[30],16.66µm
_0192_,16.44µm
_0584_,16.44µm
dco_inst.accumulator\[13\],16.39µm
_0271_,16.34µm
_0358_,16.34µm
_0804_,16.34µm
lf_inst.integrator\[15\],16.34µm
_0447_,16.29µm
_0451_,16.29µm
_0494_,16.29µm
_0500_,16.29µm
_0501_,16.29µm
_0515_,16.29µm
_0655_,16.29µm
_1028_,16.29µm
_1037_,16.29µm
_1127_,16.29µm
net177,16.29µm
_0323_,16.24µm
_0482_,16.24µm
_0581_,16.24µm
_0834_,16.24µm
_0952_,16.24µm
ref_clk,16.1µm
_0088_,15.78µm
_0224_,15.78µm
_0601_,15.78µm
_0955_,15.78µm
_1036_,15.78µm
_0014_,15.73µm
_0241_,15.73µm
_0418_,15.73µm
_0453_,15.73µm
_0587_,15.73µm
_0588_,15.73µm
_0782_,15.73µm
_0839_,15.73µm
_0918_,15.73µm
_0919_,15.73µm
_1059_,15.73µm
net166,15.73µm
_0272_,15.68µm
_0318_,15.68µm
_0319_,15.68µm
_0329_,15.68µm
_0384_,15.68µm
_0786_,15.68µm
_0812_,15.68µm
_0922_,15.68µm
net48,15.68µm
initial_freq[17],15.54µm
_0354_,15.27µm
_0034_,15.22µm
_0258_,15.22µm
_0623_,15.22µm
_0858_,15.22µm
_0248_,15.17µm
_0255_,15.17µm
_0417_,15.17µm
_0664_,15.17µm
_0938_,15.17µm
_1004_,15.17µm
_1025_,15.17µm
dco_inst.accumulator\[20\],15.17µm
unlock_timer\[1\],15.17µm
net12,15.17µm
_0043_,15.12µm
_0183_,15.12µm
_0344_,15.12µm
_0935_,15.12µm
_0994_,15.12µm
net62,15.12µm
net270,15.12µm
debug_dco_word[6],14.98µm
debug_dco_word[7],14.98µm
initial_freq[7],14.98µm
_0594_,14.76µm
_0550_,14.71µm
_0168_,14.66µm
_0394_,14.66µm
_0639_,14.66µm
lf_inst.integrator\[27\],14.66µm
_0089_,14.61µm
_0520_,14.61µm
_0634_,14.61µm
_0654_,14.61µm
_0700_,14.61µm
_0802_,14.61µm
_1073_,14.61µm
_1094_,14.61µm
_1095_,14.61µm
dco_inst.accumulator\[12\],14.61µm
lf_inst.integrator\[17\],14.61µm
net141,14.61µm
_0505_,14.56µm
_0675_,14.56µm
_0701_,14.56µm
_0785_,14.56µm
_0950_,14.56µm
_1017_,14.56µm
_1048_,14.56µm
dco_inst.accumulator\[7\],14.56µm
lf_inst.integrator\[13\],14.56µm
net51,14.56µm
net315,14.56µm
debug_dco_word[1],14.42µm
debug_dco_word[2],14.42µm
div_val[28],14.42µm
div_val[2],14.42µm
initial_freq[20],14.42µm
initial_freq[3],14.42µm
_0568_,14.33µm
_0882_,14.2µm
_0210_,14.15µm
_0605_,14.15µm
_0659_,14.15µm
_0688_,14.1µm
_0932_,14.1µm
dco_inst.accumulator\[26\],14.1µm
dco_inst.accumulator\[3\],14.1µm
_0030_,14.05µm
_0153_,14.05µm
_0228_,14.05µm
_0298_,14.05µm
_0666_,14.05µm
_0685_,14.05µm
_0822_,14.05µm
_1113_,14.05µm
_0233_,14µm
_0437_,14µm
_0628_,14µm
_0703_,14µm
_0889_,14µm
_1002_,14µm
_1093_,14µm
dco_inst.accumulator\[23\],14µm
dco_inst.accumulator\[25\],14µm
div_val[27],13.86µm
_0243_,13.59µm
_0574_,13.59µm
_0321_,13.54µm
_0509_,13.54µm
_0766_,13.54µm
_1022_,13.54µm
dco_inst.accumulator\[17\],13.54µm
net114,13.54µm
_0018_,13.49µm
_0077_,13.49µm
_0096_,13.49µm
_0212_,13.49µm
_0242_,13.49µm
_0627_,13.49µm
_0646_,13.49µm
_0794_,13.49µm
_0916_,13.49µm
_0942_,13.49µm
_0985_,13.49µm
_1102_,13.49µm
net21,13.49µm
_0398_,13.44µm
_0682_,13.44µm
_0693_,13.44µm
_1027_,13.44µm
div_val[17],13.35µm
_0730_,13.08µm
_0660_,13.03µm
_0755_,13.03µm
_0053_,12.98µm
_0161_,12.98µm
_0280_,12.98µm
net153,12.98µm
_0035_,12.93µm
_0071_,12.93µm
_0262_,12.93µm
_0375_,12.93µm
_0540_,12.93µm
_0558_,12.93µm
_0565_,12.93µm
_0608_,12.93µm
_0661_,12.93µm
_0674_,12.93µm
_0716_,12.93µm
_0751_,12.93µm
_0781_,12.93µm
_0868_,12.93µm
_1089_,12.93µm
_1098_,12.93µm
_0200_,12.88µm
_0379_,12.88µm
_0458_,12.88µm
_0487_,12.88µm
_0690_,12.88µm
_0731_,12.88µm
_0854_,12.88µm
_0948_,12.88µm
_1043_,12.88µm
_1064_,12.88µm
net100,12.88µm
debug_dco_word[9],12.74µm
_0313_,12.47µm
_0037_,12.42µm
_0425_,12.42µm
_0571_,12.42µm
_0742_,12.42µm
_0861_,12.42µm
net151,12.42µm
net184,12.42µm
_0001_,12.37µm
_0007_,12.37µm
_0090_,12.37µm
_0209_,12.37µm
_0572_,12.37µm
_0611_,12.37µm
_0714_,12.37µm
_0206_,12.32µm
_0299_,12.32µm
_0373_,12.32µm
_0476_,12.32µm
_0653_,12.32µm
_0725_,12.32µm
_0850_,12.32µm
_0937_,12.32µm
_0958_,12.32µm
div_val[13],12.18µm
div_val[16],12.18µm
div_val[21],12.18µm
initial_freq[31],12.18µm
lf_inst.integrator\[9\],11.91µm
_0076_,11.86µm
_0159_,11.86µm
_0393_,11.86µm
_0493_,11.86µm
_0795_,11.86µm
_0859_,11.86µm
_0128_,11.81µm
_0178_,11.81µm
_0207_,11.81µm
_0340_,11.81µm
_0563_,11.81µm
_0677_,11.81µm
_0728_,11.81µm
_0767_,11.81µm
_0792_,11.81µm
_0912_,11.81µm
_1033_,11.81µm
dco_inst.accumulator\[2\],11.81µm
lf_inst.integrator\[31\],11.81µm
net173,11.81µm
_0116_,11.76µm
_0156_,11.76µm
_0216_,11.76µm
_0405_,11.76µm
_0445_,11.76µm
_0630_,11.76µm
_0708_,11.76µm
_0726_,11.76µm
_0762_,11.76µm
_0843_,11.76µm
_0867_,11.76µm
_0963_,11.76µm
_1015_,11.76µm
_1057_,11.76µm
_1060_,11.76µm
_1123_,11.76µm
net274,11.76µm
div_val[14],11.62µm
_0274_,11.35µm
_0687_,11.35µm
_0737_,11.35µm
_0293_,11.3µm
_0377_,11.3µm
_0431_,11.3µm
_0484_,11.3µm
_0643_,11.3µm
_0872_,11.3µm
_0999_,11.3µm
_1101_,11.3µm
net309,11.3µm
net329,11.3µm
_0069_,11.25µm
_0522_,11.25µm
_0712_,11.25µm
_0939_,11.25µm
_1068_,11.25µm
_1129_,11.25µm
div_inst.counter\[5\],11.25µm
div_inst.counter\[8\],11.25µm
_0320_,11.2µm
_0641_,11.2µm
_0789_,11.2µm
_1130_,11.2µm
_1138_,11.2µm
div_inst.counter\[20\],11.2µm
net66,11.2µm
debug_dco_word[12],11.06µm
_0920_,10.79µm
dco_inst.accumulator\[24\],10.79µm
_0260_,10.74µm
_0411_,10.74µm
_0516_,10.74µm
_0738_,10.74µm
_0827_,10.74µm
_0911_,10.74µm
_1011_,10.74µm
_0048_,10.69µm
_0067_,10.69µm
_0085_,10.69µm
_0094_,10.69µm
_0118_,10.69µm
_0180_,10.69µm
_0330_,10.69µm
_0429_,10.69µm
_0524_,10.69µm
_0667_,10.69µm
_0931_,10.69µm
_0179_,10.64µm
_0246_,10.64µm
_0642_,10.64µm
_0692_,10.64µm
_0704_,10.64µm
_0732_,10.64µm
_0771_,10.64µm
_0874_,10.64µm
dco_inst.accumulator\[4\],10.64µm
pfd_inst.fb_sync\[2\],10.64µm
net61,10.64µm
net76,10.64µm
_0416_,10.18µm
_0783_,10.18µm
_0788_,10.18µm
_0038_,10.13µm
_0074_,10.13µm
_0091_,10.13µm
_0098_,10.13µm
_0365_,10.13µm
_0403_,10.13µm
