net,length_um
_0445_,18.52µm
_1046_,18.52µm
_0329_,18.5µm
_0225_,18.46µm
net7,18.46µm
_0951_,18.44µm
net53,18.4µm
net54,18.4µm
_0903_,18.34µm
_0612_,18.3µm
_0919_,18.29µm
_0465_,18.2µm
net112,18.14µm
lf_inst.integrator\[2\],18.11µm
net95,18.06µm
_0280_,18.04µm
_0418_,17.96µm
_0326_,17.94µm
_0801_,17.84µm
_0432_,17.64µm
net10,17.5µm
_0351_,17.42µm
_0189_,17.4µm
_1008_,17.4µm
net57,17.4µm
_0750_,17.38µm
_0184_,17.32µm
_0881_,17.2µm
_1023_,17.185µm
_0659_,17.035µm
_0368_,17.02µm
_0586_,17µm
_0227_,16.96µm
_0454_,16.94µm
lf_inst.integrator\[18\],16.94µm
_0716_,16.88µm
_0290_,16.805µm
_0709_,16.76µm
_0868_,16.7µm
_0666_,16.695µm
_0566_,16.68µm
unlock_timer\[4\],16.66µm
_0684_,16.56µm
div_inst.counter\[26\],16.56µm
_0584_,16.48µm
_0658_,16.46µm
_0997_,16.46µm
_0567_,16.44µm
_0697_,16.4µm
_0787_,16.26µm
_0905_,16.26µm
net160,16.26µm
_0430_,16.24µm
_0578_,16.24µm
net59,16.22µm
_0387_,16.18µm
_0621_,16.14µm
_0748_,16.14µm
_0772_,16.1µm
net56,16.1µm
_0740_,16.095µm
_0591_,16.08µm
_0447_,16.04µm
_1006_,16.02µm
_0252_,15.9µm
_0289_,15.88µm
unlock_timer\[0\],15.84µm
_0197_,15.82µm
_0199_,15.74µm
_0448_,15.72µm
_0606_,15.72µm
_0664_,15.7µm
_0353_,15.68µm
lf_inst.integrator\[9\],15.68µm
_0867_,15.62µm
_0686_,15.58µm
_1032_,15.56µm
unlock_timer\[3\],15.54µm
net113,15.54µm
_0736_,15.46µm
_0764_,15.46µm
net40,15.4µm
net41,15.4µm
_0514_,15.34µm
_0594_,15.3µm
_0774_,15.3µm
_0543_,15.28µm
_0726_,15.28µm
_0158_,15.24µm
_0323_,15.22µm
pfd_inst.state\[1\],15.18µm
_0468_,15.12µm
_0201_,15.1µm
_0620_,15.02µm
_1019_,15µm
_0673_,14.96µm
_1044_,14.94µm
net169,14.94µm
net61,14.87µm
_0164_,14.84µm
_0705_,14.78µm
_0920_,14.77µm
_0509_,14.76µm
lf_inst.integrator\[29\],14.76µm
_0696_,14.74µm
_0992_,14.74µm
unlock_timer\[2\],14.74µm
_0516_,14.68µm
_0263_,14.66µm
lf_inst.integrator\[28\],14.64µm
lf_inst.integrator\[24\],14.62µm
_0998_,14.52µm
_0455_,14.5µm
_0495_,14.5µm
_0213_,14.42µm
_0470_,14.42µm
_0690_,14.38µm
_0182_,14.36µm
_0695_,14.36µm
_0474_,14.34µm
_0744_,14.34µm
_0954_,14.34µm
_0214_,14.3µm
_0237_,14.3µm
_0452_,14.22µm
_0601_,14.22µm
_0921_,14.22µm
dco_inst.accumulator\[27\],14.22µm
_0733_,14.19µm
net205,14.14µm
_0499_,14.115µm
_0393_,14.06µm
_0901_,14.06µm
net43,14.02µm
net42,14µm
_1025_,13.98µm
_0680_,13.97µm
_0166_,13.96µm
_0531_,13.94µm
_0153_,13.88µm
_0333_,13.88µm
lf_inst.zero_error_count\[4\],13.84µm
_0810_,13.8µm
_1013_,13.8µm
lf_inst.integrator\[10\],13.76µm
_0547_,13.72µm
_1047_,13.72µm
_0871_,13.7µm
_0908_,13.66µm
_0645_,13.62µm
_0479_,13.6µm
_0219_,13.58µm
_0765_,13.52µm
_0652_,13.51µm
dco_inst.accumulator\[18\],13.48µm
lf_inst.integrator\[30\],13.48µm
_0559_,13.46µm
net60,13.435µm
_0365_,13.4µm
_0259_,13.38µm
_0877_,13.38µm
net211,13.38µm
div_inst.counter\[15\],13.36µm
_0401_,13.32µm
_1048_,13.28µm
_0221_,13.24µm
_0944_,13.24µm
_0248_,13.14µm
_0056_,13.125µm
_0743_,13.1µm
_0809_,13.1µm
_0777_,13.08µm
_0163_,13.04µm
_0383_,13.04µm
lf_inst.integrator\[1\],13.04µm
_0955_,12.96µm
_0654_,12.94µm
_0878_,12.92µm
_0245_,12.9µm
_0640_,12.84µm
lf_inst.integrator\[13\],12.82µm
_0510_,12.8µm
_0722_,12.8µm
_0222_,12.72µm
_0306_,12.71µm
_0190_,12.64µm
_0212_,12.64µm
_0206_,12.6µm
_0414_,12.58µm
net50,12.58µm
_0458_,12.54µm
_0994_,12.5µm
_0449_,12.48µm
net158,12.46µm
_0271_,12.44µm
_0524_,12.38µm
_0295_,12.28µm
_0936_,12.28µm
_0442_,12.24µm
_0806_,12.22µm
_0075_,12.205µm
_0330_,12.2µm
_0429_,12.16µm
_0749_,12.16µm
_0441_,12.14µm
_0730_,12.14µm
_0193_,12.12µm
_0679_,12.1µm
dco_inst.accumulator\[1\],12.08µm
_0558_,12.06µm
_0175_,12.04µm
initial_freq[25],12.02µm
initial_freq[26],12.02µm
initial_freq[28],12.02µm
initial_freq[31],12.02µm
_0359_,11.96µm
_0893_,11.96µm
_0852_,11.95µm
_0282_,11.94µm
initial_freq[12],11.92µm
_0200_,11.9µm
_0934_,11.88µm
_0294_,11.86µm
_0405_,11.805µm
_0273_,11.8µm
_0538_,11.8µm
initial_freq[22],11.79µm
_0344_,11.7µm
_0760_,11.7µm
_0192_,11.695µm
_0412_,11.64µm
_0504_,11.61µm
_0784_,11.6µm
_0423_,11.56µm
_0494_,11.56µm
_0276_,11.54µm
_0482_,11.5µm
_0727_,11.49µm
_0863_,11.44µm
_0194_,11.42µm
dco_inst.accumulator\[13\],11.42µm
_0094_,11.405µm
_0389_,11.36µm
_0917_,11.36µm
_0800_,11.34µm
_0229_,11.3µm
_1041_,11.28µm
_0215_,11.24µm
_0646_,11.24µm
_0747_,11.24µm
_0946_,11.24µm
_0874_,11.22µm
_0913_,11.205µm
_0477_,11.2µm
_0619_,11.2µm
_0556_,11.12µm
_0761_,11.12µm
net51,11.12µm
initial_freq[27],11.1µm
initial_freq[29],11.1µm
initial_freq[30],11.1µm
_0782_,11µm
debug_dco_word[23],11µm
debug_dco_word[25],11µm
debug_dco_word[31],11µm
_0939_,10.98µm
_0256_,10.92µm
_0724_,10.92µm
_0521_,10.88µm
_0982_,10.88µm
_0355_,10.86µm
net193,10.86µm
_0519_,10.84µm
dco_inst.accumulator\[19\],10.84µm
_0720_,10.835µm
_0247_,10.815µm
_0419_,10.805µm
_0826_,10.8µm
net58,10.78µm
initial_freq[10],10.77µm
_0209_,10.74µm
net171,10.72µm
_0604_,10.68µm
_0425_,10.66µm
_0974_,10.6µm
_0473_,10.58µm
_0972_,10.56µm
debug_dco_word[24],10.54µm
debug_dco_word[26],10.54µm
debug_dco_word[27],10.54µm
debug_dco_word[28],10.54µm
debug_dco_word[29],10.54µm
debug_dco_word[30],10.54µm
_0274_,10.5µm
_0548_,10.44µm
net232,10.44µm
_0626_,10.38µm
_0317_,10.32µm
_0242_,10.28µm
_0975_,10.24µm
_0827_,10.22µm
_0493_,10.2µm
_0717_,10.2µm
_0755_,10.2µm
_0211_,10.16µm
lf_inst.integrator\[3\],10.14µm
_0319_,10.12µm
_0957_,10.12µm
div_inst.clk_out,10.1µm
_0574_,10µm
_0802_,9.995µm
_0653_,9.98µm
_0786_,9.98µm
_0409_,9.94µm
_0714_,9.94µm
net209,9.94µm
_0811_,9.93µm
_0185_,9.92µm
_0967_,9.92µm
_0251_,9.9µm
_0469_,9.9µm
_0711_,9.9µm
_0624_,9.88µm
_0037_,9.865µm
_0845_,9.86µm
_0421_,9.84µm
_0529_,9.82µm
net62,9.78µm
_0520_,9.72µm
_0791_,9.7µm
_0451_,9.66µm
_0633_,9.66µm
_0820_,9.66µm
initial_freq[3],9.64µm
initial_freq[7],9.64µm
initial_freq[9],9.64µm
_0825_,9.62µm
dco_inst.accumulator\[12\],9.62µm
_0461_,9.6µm
dco_inst.accumulator\[16\],9.52µm
net66,9.48µm
_0279_,9.44µm
debug_dco_word[10],9.42µm
_0162_,9.4µm
net234,9.4µm
_0756_,9.38µm
_0413_,9.36µm
_0953_,9.34µm
_0220_,9.32µm
_0303_,9.32µm
_0305_,9.3µm
_0347_,9.28µm
_0926_,9.24µm
_0515_,9.14µm
_0526_,9.14µm
_0267_,9.08µm
_0488_,9.08µm
_0258_,9.06µm
dco_inst.accumulator\[5\],9.06µm
_0154_,9.04µm
dco_inst.accumulator\[30\],9.04µm
_0169_,9.02µm
_0286_,9.02µm
_0415_,9.02µm
_0929_,9.02µm
_0849_,9µm
_0890_,8.98µm
_0976_,8.98µm
_0506_,8.96µm
_0691_,8.96µm
dco_inst.accumulator\[11\],8.96µm
debug_dco_word[2],8.96µm
debug_dco_word[3],8.96µm
debug_dco_word[7],8.96µm
debug_dco_word[9],8.96µm
_0159_,8.9µm
lf_inst.integrator\[15\],8.88µm
_0870_,8.82µm
_0909_,8.82µm
_1004_,8.82µm
_0079_,8.805µm
_0103_,8.805µm
_0378_,8.8µm
net13,8.78µm
_0564_,8.74µm
_0026_,8.725µm
initial_freq[11],8.72µm
initial_freq[13],8.72µm
initial_freq[4],8.72µm
initial_freq[5],8.72µm
initial_freq[6],8.72µm
initial_freq[8],8.72µm
_0712_,8.7µm
initial_freq[0],8.69µm
_0721_,8.68µm
_0797_,8.62µm
_0174_,8.6µm
net225,8.56µm
_0757_,8.54µm
_0776_,8.52µm
debug_dco_word[11],8.5µm
debug_dco_word[12],8.5µm
debug_dco_word[13],8.5µm
debug_dco_word[4],8.5µm
debug_dco_word[5],8.5µm
debug_dco_word[6],8.5µm
debug_dco_word[8],8.5µm
_0260_,8.48µm
_0366_,8.48µm
_0371_,8.48µm
_0395_,8.46µm
_1022_,8.46µm
_0592_,8.44µm
_0735_,8.44µm
_0819_,8.44µm
_0707_,8.42µm
_0560_,8.415µm
_0674_,8.38µm
_0906_,8.38µm
_0788_,8.36µm
_0089_,8.335µm
_0116_,8.325µm
_0327_,8.32µm
_0596_,8.32µm
_0729_,8.3µm
_0904_,8.28µm
net165,8.23µm
_0480_,8.2µm
_0486_,8.2µm
_0527_,8.2µm
_0577_,8.2µm
dco_inst.accumulator\[29\],8.2µm
_0501_,8.14µm
_0541_,8.14µm
_0572_,8.14µm
_0059_,8.125µm
_0313_,8.12µm
_0357_,8.12µm
lf_inst.integrator\[14\],8.12µm
_0427_,8.115µm
_0379_,8.1µm
_0062_,8.065µm
_0320_,8.06µm
_0661_,8.04µm
_0530_,8.02µm
initial_freq[24],8.01µm
_0349_,8µm
net220,8µm
_0370_,7.98µm
_0450_,7.98µm
_0407_,7.96µm
_0483_,7.94µm
_0773_,7.94µm
dco_inst.accumulator\[20\],7.94µm
dco_inst.accumulator\[17\],7.9µm
_0632_,7.86µm
_0943_,7.86µm
_0239_,7.82µm
debug_dco_word[19],7.79µm
_0380_,7.78µm
_0610_,7.78µm
_0746_,7.78µm
_0778_,7.78µm
dco_inst.accumulator\[25\],7.76µm
_0287_,7.74µm
_0615_,7.74µm
_0681_,7.68µm
_1020_,7.68µm
_0554_,7.64µm
_0562_,7.64µm
_0595_,7.64µm
_0775_,7.64µm
_0297_,7.62µm
_0017_,7.605µm
_0063_,7.605µm
_0444_,7.6µm
_0341_,7.58µm
_0382_,7.58µm
_0288_,7.56µm
_0498_,7.56µm
_0565_,7.52µm
_0625_,7.52µm
_0940_,7.5µm
_0699_,7.44µm
lf_inst.integrator\[17\],7.44µm
net199,7.44µm
_0348_,7.4µm
dco_inst.accumulator\[23\],7.4µm
_0168_,7.38µm
_0117_,7.365µm
_0367_,7.34µm
_0751_,7.32µm
_0019_,7.305µm
_0650_,7.3µm
_0165_,7.28µm
_0563_,7.24µm
_0745_,7.24µm
initial_freq[19],7.23µm
_0671_,7.22µm
_0996_,7.22µm
net111,7.2µm
_0602_,7.195µm
_0285_,7.18µm
_0328_,7.18µm
_0752_,7.18µm
_0794_,7.18µm
net35,7.18µm
_0422_,7.16µm
dco_inst.accumulator\[14\],7.15µm
_0534_,7.14µm
_0930_,7.12µm
debug_dco_word[14],7.11µm
_0265_,7.1µm
_0399_,7.08µm
_0718_,7.08µm
_0798_,7.08µm
_0240_,7.06µm
_0336_,7.06µm
_0420_,7.06µm
_0728_,7.06µm
_0781_,7.06µm
_0793_,7.06µm
_0394_,7.04µm
initial_freq[14],7.03µm
_0226_,6.98µm
_0641_,6.98µm
_0061_,6.925µm
_0074_,6.925µm
_0152_,6.925µm
_0518_,6.9µm
div_val[31],6.89µm
net180,6.88µm
_0769_,6.86µm
_0902_,6.86µm
_0941_,6.86µm
_0668_,6.84µm
initial_freq[18],6.79µm
_0545_,6.76µm
dco_inst.accumulator\[21\],6.76µm
_0785_,6.75µm
_0923_,6.74µm
dco_inst.accumulator\[28\],6.74µm
_0910_,6.725µm
_0246_,6.72µm
_0318_,6.72µm
pfd_inst.fb_sync\[0\],6.72µm
_0013_,6.685µm
_0038_,6.685µm
_0076_,6.645µm
_0262_,6.64µm
_0703_,6.64µm
_0433_,6.6µm
_0767_,6.6µm
_0805_,6.6µm
_0915_,6.6µm
_0440_,6.525µm
_0683_,6.52µm
dco_inst.accumulator\[10\],6.52µm
_0015_,6.485µm
_0073_,6.485µm
_0087_,6.485µm
initial_freq[23],6.45µm
_0314_,6.44µm
_1043_,6.44µm
_0107_,6.425µm
net192,6.42µm
net197,6.42µm
_0688_,6.4µm
_0753_,6.4µm
_1009_,6.4µm
_0170_,6.38µm
_0677_,6.36µm
dco_inst.accumulator\[4\],6.36µm
net161,6.36µm
_0024_,6.325µm
_0335_,6.32µm
_0854_,6.32µm
div_val[28],6.31µm
div_val[8],6.31µm
rst_n,6.31µm
_0084_,6.3µm
_0987_,6.3µm
pfd_inst.ref_sync\[0\],6.3µm
net216,6.3µm
_0310_,6.28µm
_0835_,6.28µm
_0907_,6.28µm
_0243_,6.26µm
_0338_,6.26µm
_0446_,6.26µm
_0613_,6.26µm
_0012_,6.225µm
_0021_,6.225µm
_0363_,6.2µm
_0628_,6.2µm
_0360_,6.16µm
_0207_,6.14µm
_0605_,6.14µm
_0968_,6.14µm
net33,6.14µm
debug_dco_word[20],6.09µm
_0642_,6.08µm
_0790_,6.08µm
_0060_,6.025µm
_0147_,6.025µm
_0585_,5.98µm
net185,5.98µm
net218,5.98µm
initial_freq[21],5.97µm
_0457_,5.94µm
_0537_,5.94µm
_0701_,5.94µm
dco_inst.accumulator\[22\],5.935µm
_0188_,5.86µm
_0198_,5.86µm
div_val[17],5.85µm
net166,5.84µm
net224,5.84µm
_0856_,5.82µm
_0897_,5.82µm
_0003_,5.8µm
_0196_,5.8µm
_0261_,5.8µm
_0614_,5.8µm
_0739_,5.8µm
_0886_,5.8µm
_1024_,5.8µm
debug_dco_word[17],5.75µm
_0081_,5.74µm
_0235_,5.74µm
_0424_,5.74µm
_0660_,5.74µm
_0268_,5.72µm
net217,5.72µm
_0706_,5.71µm
_0345_,5.7µm
_0891_,5.7µm
_0496_,5.68µm
_0947_,5.68µm
net34,5.68µm
net206,5.68µm
_0296_,5.62µm
_0834_,5.62µm
_0269_,5.6µm
_0575_,5.6µm
_0497_,5.58µm
_0828_,5.58µm
net109,5.58µm
div_val[0],5.51µm
div_val[10],5.51µm
div_val[14],5.51µm
div_val[26],5.51µm
_0883_,5.48µm
_0035_,5.475µm
_0077_,5.475µm
_0838_,5.4µm
_0361_,5.38µm
_0481_,5.38µm
_0484_,5.38µm
_0822_,5.38µm
_1016_,5.38µm
_0104_,5.365µm
_0742_,5.36µm
_0579_,5.34µm
_0832_,5.34µm
_0069_,5.305µm
initial_freq[15],5.29µm
_0823_,5.28µm
_0308_,5.26µm
_0406_,5.26µm
_0492_,5.26µm
_0872_,5.26µm
_0120_,5.245µm
_0032_,5.24µm
_0600_,5.22µm
_0792_,5.22µm
net222,5.22µm
_0007_,5.215µm
_0028_,5.185µm
div_val[12],5.17µm
div_val[9],5.17µm
_0091_,5.16µm
_0145_,5.16µm
_0487_,5.16µm
_0851_,5.16µm
_0434_,5.14µm
_0731_,5.14µm
_0092_,5.135µm
net179,5.095µm
debug_dco_word[0],5.07µm
debug_dco_word[15],5.07µm
debug_dco_word[16],5.07µm
debug_dco_word[18],5.07µm
debug_dco_word[21],5.07µm
debug_dco_word[22],5.07µm
lock_detect,5.07µm
net188,5.06µm
_0053_,5.02µm
_0630_,5.02µm
_0950_,5.02µm
div_val[16],4.95µm
div_val[7],4.95µm
initial_freq[16],4.95µm
initial_freq[17],4.95µm
initial_freq[20],4.95µm
initial_freq[2],4.95µm
_0275_,4.94µm
_0588_,4.94µm
_0085_,4.92µm
_0155_,4.92µm
_0300_,4.92µm
_0411_,4.92µm
_1031_,4.92µm
_0667_,4.9µm
_0284_,4.88µm
_0471_,4.88µm
_0817_,4.88µm
_0916_,4.88µm
_0965_,4.88µm
_1007_,4.88µm
_0111_,4.845µm
_0121_,4.845µm
_0124_,4.845µm
div_val[25],4.83µm
div_val[29],4.83µm
div_val[2],4.83µm
ref_clk,4.83µm
_0172_,4.82µm
_0540_,4.8µm
_0573_,4.8µm
_0676_,4.8µm
_0888_,4.8µm
_0962_,4.8µm
unlock_timer\[5\],4.8µm
net181,4.8µm
_0102_,4.795µm
_0462_,4.785µm
_0456_,4.76µm
_0467_,4.76µm
_0009_,4.72µm
_0039_,4.7µm
_0101_,4.7µm
_0555_,4.7µm
_0580_,4.68µm
_0099_,4.665µm
_0882_,4.66µm
_0002_,4.625µm
initial_freq[1],4.61µm
pll_out,4.61µm
_0078_,4.605µm
_0343_,4.6µm
net208,4.6µm
_0031_,4.585µm
_0842_,4.58µm
_0958_,4.58µm
_0236_,4.56µm
_0693_,4.56µm
div_val[21],4.49µm
div_val[30],4.49µm
div_val[6],4.49µm
_0737_,4.48µm
net214,4.48µm
net231,4.48µm
_0428_,4.475µm
_0812_,4.46µm
_0815_,4.46µm
_1030_,4.46µm
net162,4.46µm
net168,4.46µm
_0150_,4.435µm
_0312_,4.42µm
_0754_,4.42µm
net38,4.42µm
net47,4.42µm
_0014_,4.405µm
debug_dco_word[1],4.39µm
_0110_,4.385µm
_0372_,4.37µm
_0176_,4.34µm
_0191_,4.34µm
_0460_,4.34µm
