net,length_um
net156,307.63µm
clknet_0_sys_clk,306.34µm
net155,268.75µm
_0490_,229.36µm
net127,197.9µm
net153,196.66µm
net149,195.14µm
net140,193.75µm
net128,188.925µm
net100,187µm
net119,184.48µm
net142,158µm
net107,156.87µm
net103,153.74µm
net125,151.56µm
net126,151.52µm
net143,149.755µm
_1018_,146.46µm
net137,145.62µm
net154,143.27µm
net147,141.605µm
net105,141.42µm
sys_clk,141.19µm
net118,140.005µm
net101,135.94µm
net150,133.7µm
net145,131.395µm
net146,128.84µm
net124,125.8µm
net123,121.47µm
clknet_4_10_0_sys_clk,120.32µm
_0841_,119.98µm
net122,117.825µm
net136,117.18µm
net135,113.39µm
clknet_4_15_0_sys_clk,112.26µm
net106,109.18µm
clknet_4_0_0_sys_clk,107.24µm
_0581_,106.94µm
div_inst.counter\[0\],106.54µm
net152,105.84µm
_0846_,105.44µm
net102,103.68µm
net138,102.94µm
_0397_,102.4µm
clknet_4_4_0_sys_clk,100.2µm
dynamic_kp\[2\],96.62µm
clknet_4_1_0_sys_clk,96.2µm
net99,95.86µm
net134,93.16µm
_0398_,91.48µm
_1014_,91.41µm
net148,91.38µm
net120,90.36µm
clknet_4_5_0_sys_clk,87.78µm
net139,87.36µm
net144,86.56µm
net117,86.08µm
net130,85.79µm
_1021_,85.03µm
_1015_,84.06µm
_0985_,83.64µm
_0858_,83.19µm
clknet_4_7_0_sys_clk,83.06µm
net70,82.44µm
_0582_,81.94µm
net141,80.4µm
net114,80.11µm
net71,79.63µm
net151,77.96µm
clknet_4_13_0_sys_clk,77.56µm
net98,76.84µm
_1017_,76.635µm
clknet_4_2_0_sys_clk,74.9µm
_0304_,74.69µm
net49,73.8µm
net133,73.72µm
_1027_,73.24µm
net121,73.22µm
clknet_4_9_0_sys_clk,73.2µm
_1010_,73.04µm
net69,72.82µm
_0583_,72.42µm
net68,70.94µm
net30,68.86µm
net115,65.96µm
clknet_4_14_0_sys_clk,65.04µm
net104,64.86µm
net116,64.54µm
dynamic_ki\[2\],64.42µm
_0981_,64.2µm
net31,63.04µm
net108,62.24µm
net22,61.86µm
clknet_4_6_0_sys_clk,60.39µm
div_inst.counter\[7\],59.9µm
_0608_,59.18µm
net29,59.06µm
net21,58.7µm
clknet_4_12_0_sys_clk,58.66µm
net24,58.62µm
clknet_4_11_0_sys_clk,58.18µm
clknet_4_3_0_sys_clk,57.38µm
net25,57.26µm
net20,57.02µm
_0964_,56.6µm
_0649_,55.84µm
_0662_,55.3µm
net37,55.22µm
lf_inst.integrator\[26\],55.1µm
lf_inst.error_in\[0\],53.98µm
_1034_,53.08µm
net129,52.4µm
_0938_,52.18µm
_0924_,52.155µm
net78,52.1µm
net65,51.38µm
_0848_,50.76µm
net19,50.38µm
_0208_,48.92µm
_0472_,48.88µm
_0922_,48.72µm
net1,48.6µm
_0525_,48.42µm
net97,48.3µm
_0203_,48.08µm
_0935_,48µm
_0850_,47.2µm
div_inst.counter\[21\],47.12µm
net36,46.48µm
div_inst.counter\[1\],46.46µm
_0928_,46.24µm
net23,46.24µm
_0266_,46.155µm
div_inst.counter\[23\],46.06µm
_0768_,45.9µm
_0364_,45.64µm
lf_inst.integrator\[25\],45.3µm
net163,44.94µm
clknet_4_8_0_sys_clk,44.72µm
_0862_,44.6µm
net18,44.34µm
_0961_,43.7µm
net14,43.3µm
_0880_,43.12µm
_0403_,43µm
_0933_,42.94µm
_0532_,42.34µm
div_inst.counter\[22\],42.205µm
net8,41.86µm
_0966_,41.78µm
_0942_,41.77µm
net12,41.57µm
net27,41.125µm
_0999_,40.46µm
net89,40.38µm
_0844_,40.36µm
net28,40.26µm
net15,39.69µm
net74,39.54µm
_0377_,39.495µm
net88,38.79µm
div_inst.counter\[12\],38.66µm
lf_inst.integrator\[4\],38.64µm
_1029_,38.4µm
_0766_,38.08µm
net32,37.94µm
net72,37.85µm
div_inst.counter\[19\],37.6µm
_0702_,37.42µm
pfd_inst.ref_sync\[1\],37.32µm
net131,36.925µm
_0912_,36.84µm
net3,36.81µm
div_inst.counter\[4\],36.8µm
_0307_,36.375µm
net55,36.3µm
div_inst.counter\[6\],36.02µm
_1037_,35.54µm
net5,35.1µm
_0402_,35.06µm
lf_inst.sample_en,34.9µm
net6,34.69µm
div_inst.counter\[31\],34.63µm
lf_inst.zero_error_count\[0\],34.58µm
_1011_,34.4µm
_0161_,34.26µm
_0836_,34.26µm
net26,34.26µm
lf_inst.zero_error_count\[2\],33.9µm
_0859_,33.62µm
lf_inst.integrator\[16\],33.53µm
div_inst.counter\[28\],33.42µm
_0884_,33.28µm
_0218_,33.04µm
_0829_,32.94µm
net157,32.76µm
_0647_,32.34µm
_1039_,32.3µm
net164,32.14µm
lf_inst.integrator\[23\],31.97µm
net44,31.94µm
div_inst.counter\[18\],31.84µm
_0931_,31.78µm
_0973_,31.76µm
_0210_,31.62µm
_0831_,31.52µm
_0464_,31.32µm
_0980_,31.32µm
net63,31.295µm
net92,31.2µm
_0535_,31.09µm
_0959_,31.04µm
_0539_,30.85µm
pfd_inst.state\[0\],30.84µm
_0814_,30.82µm
_0855_,30.72µm
_0489_,30.58µm
net96,30.46µm
lf_inst.integrator\[0\],30.4µm
net91,30.36µm
_0299_,30.34µm
net80,30.24µm
_0278_,30.2µm
net73,30.02µm
_0436_,29.92µm
lf_inst.integrator\[11\],29.66µm
net86,29.66µm
_0894_,29.65µm
_0466_,29.6µm
unlock_timer\[1\],29.48µm
lf_inst.integrator\[7\],29.4µm
_0321_,29.3µm
div_inst.counter\[30\],29.3µm
net81,29.18µm
net82,29.12µm
_0272_,29.04µm
net87,28.99µm
lf_inst.integrator\[12\],28.86µm
net79,28.78µm
div_inst.counter\[13\],28.56µm
_0694_,28.48µm
_0816_,28.44µm
_0918_,28.4µm
lf_inst.integrator\[8\],28.4µm
_0404_,28.38µm
_0553_,28.32µm
_0157_,28.22µm
_0700_,28.18µm
net2,28.13µm
net90,28.115µm
div_inst.counter\[9\],27.93µm
net76,27.84µm
_0861_,27.74µm
_0914_,27.54µm
lf_inst.integrator\[19\],27.36µm
net85,27.2µm
_1049_,27.14µm
lf_inst.integrator\[27\],26.86µm
_0223_,26.78µm
div_inst.counter\[20\],26.78µm
_0183_,26.64µm
net64,26.64µm
_1036_,26.58µm
net77,26.56µm
div_inst.counter\[3\],26.5µm
_0672_,26.28µm
_0408_,26.1µm
_0264_,25.98µm
_0611_,25.96µm
_0885_,25.94µm
_0216_,25.92µm
lf_inst.error_in\[1\],25.66µm
net4,25.56µm
div_inst.counter\[10\],25.54µm
_0648_,25.44µm
_0231_,25.36µm
_0546_,25.34µm
_1000_,25.34µm
lf_inst.integrator\[5\],25.34µm
_0388_,25.3µm
_0179_,25.28µm
_0332_,25.24µm
lf_inst.integrator\[6\],25.24µm
_0762_,25.22µm
net94,25.17µm
_0866_,25.14µm
_0177_,25.08µm
_0283_,25.02µm
_0202_,24.98µm
_0171_,24.9µm
div_inst.counter\[8\],24.86µm
dco_inst.accumulator\[0\],24.76µm
_0638_,24.72µm
_0230_,24.64µm
_0770_,24.62µm
lf_inst.integrator\[22\],24.52µm
_0156_,24.24µm
_0949_,24.22µm
_0438_,24.12µm
_0631_,23.95µm
_0277_,23.86µm
div_inst.counter\[24\],23.86µm
_0889_,23.81µm
_0205_,23.72µm
net9,23.72µm
_0552_,23.66µm
net16,23.66µm
_0249_,23.64µm
_0948_,23.64µm
_0522_,23.625µm
net84,23.56µm
net93,23.44µm
_0511_,23.16µm
_0704_,23.08µm
net52,23.08µm
_0988_,22.96µm
dco_inst.accumulator\[8\],22.96µm
div_inst.counter\[2\],22.88µm
div_inst.counter\[5\],22.8µm
lf_inst.zero_error_count\[1\],22.74µm
_0689_,22.7µm
_0609_,22.62µm
pfd_inst.fb_sync\[1\],22.58µm
_0187_,22.54µm
net75,22.46µm
div_inst.counter\[16\],22.44µm
_0241_,22.42µm
_0587_,22.4µm
_0622_,22.3µm
_0416_,22.28µm
net39,22.22µm
div_inst.counter\[17\],22.2µm
lf_inst.zero_error_count\[3\],22.18µm
net83,22.18µm
div_inst.counter\[27\],22.14µm
pfd_inst.state\[2\],22.13µm
div_inst.counter\[11\],22.1µm
_0376_,22.04µm
_0386_,22.04µm
div_inst.counter\[14\],21.7µm
_0618_,21.68µm
_0257_,21.66µm
_0439_,21.62µm
net110,21.54µm
_0698_,21.5µm
_0892_,21.5µm
net11,21.38µm
_0789_,21.34µm
_0544_,21.3µm
_0342_,21.2µm
_0663_,21.12µm
_0392_,21µm
_0542_,20.95µm
lf_inst.integrator\[31\],20.84µm
_0400_,20.7µm
_1040_,20.66µm
_0598_,20.64µm
_0639_,20.6µm
_0818_,20.5µm
_0491_,20.42µm
dco_inst.accumulator\[9\],20.38µm
lf_inst.integrator\[20\],20.34µm
_0561_,20.12µm
_0634_,20µm
_0346_,19.98µm
_0796_,19.98µm
_0570_,19.92µm
_0255_,19.9µm
_0315_,19.7µm
_0340_,19.66µm
_1042_,19.66µm
lf_inst.integrator\[21\],19.63µm
_0678_,19.58µm
_0375_,19.48µm
_0049_,19.3µm
_0228_,19.3µm
_0181_,19.22µm
_0569_,19.22µm
_0417_,19.2µm
_0896_,19.2µm
net159,19.2µm
_0173_,19.12µm
_0195_,19.06µm
_0385_,19.06µm
_0233_,19µm
div_inst.counter\[29\],18.92µm
_0167_,18.9µm
_0895_,18.9µm
_0635_,18.865µm
_0864_,18.8µm
div_inst.counter\[25\],18.8µm
_0254_,18.74µm
_0865_,18.72µm
_0374_,18.66µm
_1035_,18.615µm
net17,18.56µm
net48,18.56µm
_0627_,18.53µm
