Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_357,VPWR,li1,170.2000,176.8000,1.799999
FILLER_60_349,VPWR,li1,167.9000,176.8000,1.799999
FILLER_60_337,VPWR,li1,163.3000,176.8000,1.799999
FILLER_60_333,VPWR,li1,159.3900,176.8000,1.799999
FILLER_60_321,VPWR,li1,155.9400,176.8000,1.799998
FILLER_60_309,VPWR,li1,150.4200,176.8000,1.799997
FILLER_60_305,VPWR,li1,146.5100,176.8000,1.799996
FILLER_60_293,VPWR,li1,143.0600,176.8000,1.799996
FILLER_60_281,VPWR,li1,137.5400,176.8000,1.799995
FILLER_60_279,VPWR,li1,134.0900,176.8000,1.799994
FILLER_60_273,VPWR,li1,132.4800,176.8000,1.799994
FILLER_60_266,VPWR,li1,128.5700,176.8000,1.799992
FILLER_60_261,VPWR,li1,125.8100,176.8000,1.799990
FILLER_60_253,VPWR,li1,123.7400,176.8000,1.799989
FILLER_60_251,VPWR,li1,121.2100,176.8000,1.799989
FILLER_60_245,VPWR,li1,118.9100,176.8000,1.799988
FILLER_60_237,VPWR,li1,115.4600,176.8000,1.799988
FILLER_60_231,VPWR,li1,112.4700,176.8000,1.799988
FILLER_60_225,VPWR,li1,109.4800,176.8000,1.799989
FILLER_60_216,VPWR,li1,106.7200,176.8000,1.799990
FILLER_60_211,VPWR,li1,103.0400,176.8000,1.799991
FILLER_60_203,VPWR,li1,100.7400,176.8000,1.799992
FILLER_60_197,VPWR,li1,96.6000,176.8000,1.799991
FILLER_60_195,VPWR,li1,95.4500,176.8000,1.799991
FILLER_60_190,VPWR,li1,93.3800,176.8000,1.799990
FILLER_60_182,VPWR,li1,91.0800,176.8000,1.799990
FILLER_60_174,VPWR,li1,86.4800,176.8000,1.799989
FILLER_60_169,VPWR,li1,83.7200,176.8000,1.799989
FILLER_60_167,VPWR,li1,82.5700,176.8000,1.799990
FILLER_60_161,VPWR,li1,80.2700,176.8000,1.799990
FILLER_60_153,VPWR,li1,76.8200,176.8000,1.799991
FILLER_60_147,VPWR,li1,73.8300,176.8000,1.799993
FILLER_60_141,VPWR,li1,70.8400,176.8000,1.799995
FILLER_60_138,VPWR,li1,69.4600,176.8000,1.799995
FILLER_60_130,VPWR,li1,67.1600,176.8000,1.799995
FILLER_60_118,VPWR,li1,62.5600,176.8000,1.799995
FILLER_60_113,VPWR,li1,57.9600,176.8000,1.799995
FILLER_60_111,VPWR,li1,56.8100,176.8000,1.799995
FILLER_60_104,VPWR,li1,54.2800,176.8000,1.799996
FILLER_60_98,VPWR,li1,51.2900,176.8000,1.799996
FILLER_60_90,VPWR,li1,48.7600,176.8000,1.799996
FILLER_60_85,VPWR,li1,45.0800,176.8000,1.799997
FILLER_60_82,VPWR,li1,43.7000,176.8000,1.799998
FILLER_60_69,VPWR,li1,37.4900,176.8000,1.799998
FILLER_60_57,VPWR,li1,34.5000,176.8000,1.799998
FILLER_60_54,VPWR,li1,30.8200,176.8000,1.799999
FILLER_60_46,VPWR,li1,28.5200,176.8000,1.799999
FILLER_60_34,VPWR,li1,23.9200,176.8000,1.799999
FILLER_60_29,VPWR,li1,19.3200,176.8000,1.799999
FILLER_60_27,VPWR,li1,18.1700,176.8000,1.799999
FILLER_60_15,VPWR,li1,15.1800,176.8000,1.799999
FILLER_60_3,VPWR,li1,9.6600,176.8000,1.800000
FILLER_59_357,VPWR,li1,170.2000,171.3600,1.799992
FILLER_59_349,VPWR,li1,167.9000,171.3600,1.799992
FILLER_59_337,VPWR,li1,163.3000,171.3600,1.799992
FILLER_59_335,VPWR,li1,159.8500,171.3600,1.799992
FILLER_59_323,VPWR,li1,156.8600,171.3600,1.799989
FILLER_59_311,VPWR,li1,151.3400,171.3600,1.799983
FILLER_59_299,VPWR,li1,145.8200,171.3600,1.799979
FILLER_59_281,VPWR,li1,135.2400,171.3600,1.799974
FILLER_59_274,VPWR,li1,131.7900,171.3600,1.799975
FILLER_59_244,VPWR,li1,117.9900,171.3600,1.799965
FILLER_59_238,VPWR,li1,116.3800,171.3600,1.799965
FILLER_59_229,VPWR,li1,111.0900,171.3600,1.799966
FILLER_59_225,VPWR,li1,109.9400,171.3600,1.799967
FILLER_59_223,VPWR,li1,108.3300,171.3600,1.799967
FILLER_59_215,VPWR,li1,106.2600,171.3600,1.799968
FILLER_59_209,VPWR,li1,101.8900,171.3600,1.799975
FILLER_59_197,VPWR,li1,98.9000,171.3600,1.799979
FILLER_59_174,VPWR,li1,86.4800,171.3600,1.799972
FILLER_59_145,VPWR,li1,72.6800,171.3600,1.799985
FILLER_59_137,VPWR,li1,70.3800,171.3600,1.799989
FILLER_59_125,VPWR,li1,65.7800,171.3600,1.799989
FILLER_59_113,VPWR,li1,60.2600,171.3600,1.799990
FILLER_59_111,VPWR,li1,56.8100,171.3600,1.799991
FILLER_59_107,VPWR,li1,55.6600,171.3600,1.799991
FILLER_59_95,VPWR,li1,51.9800,171.3600,1.799991
FILLER_59_80,VPWR,li1,42.7800,171.3600,1.799993
FILLER_59_42,VPWR,li1,26.6800,171.3600,1.799992
FILLER_59_23,VPWR,li1,16.7900,171.3600,1.799994
FILLER_59_15,VPWR,li1,14.2600,171.3600,1.799995
FILLER_59_3,VPWR,li1,9.6600,171.3600,1.799997
FILLER_58_357,VPWR,li1,170.2000,171.3600,1.799992
FILLER_58_345,VPWR,li1,166.9800,171.3600,1.799992
FILLER_58_333,VPWR,li1,161.4600,171.3600,1.799992
FILLER_58_321,VPWR,li1,155.9400,171.3600,1.799989
FILLER_58_309,VPWR,li1,150.4200,171.3600,1.799983
FILLER_58_305,VPWR,li1,146.5100,171.3600,1.799979
FILLER_58_293,VPWR,li1,143.0600,171.3600,1.799976
FILLER_58_281,VPWR,li1,135.2400,171.3600,1.799974
FILLER_58_273,VPWR,li1,131.5600,171.3600,1.799975
FILLER_58_265,VPWR,li1,129.2600,171.3600,1.799977
FILLER_58_243,VPWR,li1,118.6800,171.3600,1.799965
FILLER_58_213,VPWR,li1,103.7300,171.3600,1.799972
FILLER_58_209,VPWR,li1,102.5800,171.3600,1.799975
FILLER_58_197,VPWR,li1,98.9000,171.3600,1.799979
FILLER_58_194,VPWR,li1,95.2200,171.3600,1.799975
FILLER_58_177,VPWR,li1,87.6300,171.3600,1.799972
FILLER_58_169,VPWR,li1,85.1000,171.3600,1.799974
FILLER_58_153,VPWR,li1,78.6600,171.3600,1.799977
FILLER_58_141,VPWR,li1,73.1400,171.3600,1.799985
FILLER_58_134,VPWR,li1,68.5400,171.3600,1.799989
FILLER_58_122,VPWR,li1,64.4000,171.3600,1.799989
FILLER_58_110,VPWR,li1,58.8800,171.3600,1.799990
FILLER_58_98,VPWR,li1,53.3600,171.3600,1.799991
FILLER_58_83,VPWR,li1,43.9300,171.3600,1.799993
FILLER_58_64,VPWR,li1,35.1900,171.3600,1.799992
FILLER_58_60,VPWR,li1,34.0400,171.3600,1.799992
FILLER_58_39,VPWR,li1,25.3000,171.3600,1.799992
FILLER_58_29,VPWR,li1,19.5500,171.3600,1.799993
FILLER_58_27,VPWR,li1,18.1700,171.3600,1.799994
FILLER_58_15,VPWR,li1,15.1800,171.3600,1.799995
FILLER_58_3,VPWR,li1,9.6600,171.3600,1.799997
FILLER_57_357,VPWR,li1,170.2000,165.9200,1.799997
