Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_357,VGND,li1,170.2000,174.0800,0.000005
FILLER_60_349,VGND,li1,167.9000,174.0800,0.000005
FILLER_60_337,VGND,li1,163.3000,174.0800,0.000005
FILLER_60_333,VGND,li1,159.3900,174.0800,0.000008
FILLER_60_321,VGND,li1,155.9400,174.0800,0.000010
FILLER_60_309,VGND,li1,150.4200,174.0800,0.000013
FILLER_60_305,VGND,li1,146.5100,174.0800,0.000016
FILLER_60_293,VGND,li1,143.0600,174.0800,0.000018
FILLER_60_281,VGND,li1,137.5400,174.0800,0.000020
FILLER_60_279,VGND,li1,134.0900,174.0800,0.000022
FILLER_60_273,VGND,li1,132.4800,174.0800,0.000022
FILLER_60_266,VGND,li1,128.5700,174.0800,0.000029
FILLER_60_261,VGND,li1,125.8100,174.0800,0.000030
FILLER_60_253,VGND,li1,123.7400,174.0800,0.000031
FILLER_60_251,VGND,li1,121.2100,174.0800,0.000031
FILLER_60_245,VGND,li1,118.9100,174.0800,0.000030
FILLER_60_237,VGND,li1,115.4600,174.0800,0.000028
FILLER_60_231,VGND,li1,112.4700,174.0800,0.000026
FILLER_60_225,VGND,li1,109.4800,174.0800,0.000023
FILLER_60_216,VGND,li1,106.7200,174.0800,0.000021
FILLER_60_211,VGND,li1,103.0400,174.0800,0.000017
FILLER_60_203,VGND,li1,100.7400,174.0800,0.000019
FILLER_60_197,VGND,li1,96.6000,174.0800,0.000022
FILLER_60_195,VGND,li1,95.4500,174.0800,0.000022
FILLER_60_190,VGND,li1,93.3800,174.0800,0.000024
FILLER_60_182,VGND,li1,91.0800,174.0800,0.000025
FILLER_60_174,VGND,li1,86.4800,174.0800,0.000022
FILLER_60_169,VGND,li1,83.7200,174.0800,0.000020
FILLER_60_167,VGND,li1,82.5700,174.0800,0.000019
FILLER_60_161,VGND,li1,80.2700,174.0800,0.000016
FILLER_60_153,VGND,li1,76.8200,174.0800,0.000014
FILLER_60_147,VGND,li1,73.8300,174.0800,0.000011
FILLER_60_141,VGND,li1,70.8400,174.0800,0.000011
FILLER_60_138,VGND,li1,69.4600,174.0800,0.000011
FILLER_60_130,VGND,li1,67.1600,174.0800,0.000011
FILLER_60_118,VGND,li1,62.5600,174.0800,0.000010
FILLER_60_113,VGND,li1,57.9600,174.0800,0.000009
FILLER_60_111,VGND,li1,56.8100,174.0800,0.000009
FILLER_60_104,VGND,li1,54.2800,174.0800,0.000009
FILLER_60_98,VGND,li1,51.2900,174.0800,0.000008
FILLER_60_90,VGND,li1,48.7600,174.0800,0.000008
FILLER_60_85,VGND,li1,45.0800,174.0800,0.000007
FILLER_60_82,VGND,li1,43.7000,174.0800,0.000006
FILLER_60_69,VGND,li1,37.4900,174.0800,0.000008
FILLER_60_57,VGND,li1,34.5000,174.0800,0.000008
FILLER_60_54,VGND,li1,30.8200,174.0800,0.000009
FILLER_60_46,VGND,li1,28.5200,174.0800,0.000009
FILLER_60_34,VGND,li1,23.9200,174.0800,0.000007
FILLER_60_29,VGND,li1,19.3200,174.0800,0.000006
FILLER_60_27,VGND,li1,18.1700,174.0800,0.000005
FILLER_60_15,VGND,li1,15.1800,174.0800,0.000004
FILLER_60_3,VGND,li1,9.6600,174.0800,0.000004
FILLER_59_357,VGND,li1,170.2000,174.0800,0.000005
FILLER_59_349,VGND,li1,167.9000,174.0800,0.000005
FILLER_59_337,VGND,li1,163.3000,174.0800,0.000005
FILLER_59_335,VGND,li1,159.8500,174.0800,0.000008
FILLER_59_323,VGND,li1,156.8600,174.0800,0.000010
FILLER_59_311,VGND,li1,151.3400,174.0800,0.000013
FILLER_59_299,VGND,li1,145.8200,174.0800,0.000016
FILLER_59_281,VGND,li1,135.2400,174.0800,0.000019
FILLER_59_274,VGND,li1,131.7900,174.0800,0.000026
FILLER_59_244,VGND,li1,117.9900,174.0800,0.000030
FILLER_59_238,VGND,li1,116.3800,174.0800,0.000030
FILLER_59_229,VGND,li1,111.0900,174.0800,0.000026
FILLER_59_225,VGND,li1,109.9400,174.0800,0.000023
FILLER_59_223,VGND,li1,108.3300,174.0800,0.000023
FILLER_59_215,VGND,li1,106.2600,174.0800,0.000021
FILLER_59_209,VGND,li1,101.8900,174.0800,0.000019
FILLER_59_197,VGND,li1,98.9000,174.0800,0.000021
FILLER_59_174,VGND,li1,86.4800,174.0800,0.000022
FILLER_59_145,VGND,li1,72.6800,174.0800,0.000011
FILLER_59_137,VGND,li1,70.3800,174.0800,0.000011
FILLER_59_125,VGND,li1,65.7800,174.0800,0.000011
FILLER_59_113,VGND,li1,60.2600,174.0800,0.000010
FILLER_59_111,VGND,li1,56.8100,174.0800,0.000009
FILLER_59_107,VGND,li1,55.6600,174.0800,0.000009
FILLER_59_95,VGND,li1,51.9800,174.0800,0.000008
FILLER_59_80,VGND,li1,42.7800,174.0800,0.000006
FILLER_59_42,VGND,li1,26.6800,174.0800,0.000008
FILLER_59_23,VGND,li1,16.7900,174.0800,0.000005
FILLER_59_15,VGND,li1,14.2600,174.0800,0.000004
FILLER_59_3,VGND,li1,9.6600,174.0800,0.000004
FILLER_58_357,VGND,li1,170.2000,168.6400,0.000004
FILLER_58_345,VGND,li1,166.9800,168.6400,0.000004
FILLER_58_333,VGND,li1,161.4600,168.6400,0.000005
FILLER_58_321,VGND,li1,155.9400,168.6400,0.000008
FILLER_58_309,VGND,li1,150.4200,168.6400,0.000010
FILLER_58_305,VGND,li1,146.5100,168.6400,0.000011
FILLER_58_293,VGND,li1,143.0600,168.6400,0.000013
FILLER_58_281,VGND,li1,135.2400,168.6400,0.000014
FILLER_58_273,VGND,li1,131.5600,168.6400,0.000018
FILLER_58_265,VGND,li1,129.2600,168.6400,0.000020
FILLER_58_243,VGND,li1,118.6800,168.6400,0.000029
FILLER_58_213,VGND,li1,103.7300,168.6400,0.000021
FILLER_58_209,VGND,li1,102.5800,168.6400,0.000021
FILLER_58_197,VGND,li1,98.9000,168.6400,0.000023
FILLER_58_194,VGND,li1,95.2200,168.6400,0.000024
FILLER_58_177,VGND,li1,87.6300,168.6400,0.000025
FILLER_58_169,VGND,li1,85.1000,168.6400,0.000023
FILLER_58_153,VGND,li1,78.6600,168.6400,0.000016
FILLER_58_141,VGND,li1,73.1400,168.6400,0.000012
FILLER_58_134,VGND,li1,68.5400,168.6400,0.000013
FILLER_58_122,VGND,li1,64.4000,168.6400,0.000012
FILLER_58_110,VGND,li1,58.8800,168.6400,0.000010
FILLER_58_98,VGND,li1,53.3600,168.6400,0.000009
FILLER_58_83,VGND,li1,43.9300,168.6400,0.000005
FILLER_58_64,VGND,li1,35.1900,168.6400,0.000004
FILLER_58_60,VGND,li1,34.0400,168.6400,0.000004
FILLER_58_39,VGND,li1,25.3000,168.6400,0.000002
FILLER_58_29,VGND,li1,19.5500,168.6400,0.000002
FILLER_58_27,VGND,li1,18.1700,168.6400,0.000002
FILLER_58_15,VGND,li1,15.1800,168.6400,0.000001
FILLER_58_3,VGND,li1,9.6600,168.6400,0.000001
FILLER_57_357,VGND,li1,170.2000,168.6400,0.000004
FILLER_57_349,VGND,li1,167.9000,168.6400,0.000004
FILLER_57_337,VGND,li1,163.3000,168.6400,0.000004
FILLER_57_330,VGND,li1,158.7000,168.6400,0.000006
FILLER_57_318,VGND,li1,154.5600,168.6400,0.000008
FILLER_57_306,VGND,li1,149.0400,168.6400,0.000010
FILLER_57_294,VGND,li1,143.5200,168.6400,0.000013
FILLER_57_272,VGND,li1,132.4800,168.6400,0.000018
FILLER_57_260,VGND,li1,127.8800,168.6400,0.000024
FILLER_57_247,VGND,li1,120.0600,168.6400,0.000029
FILLER_57_236,VGND,li1,114.5400,168.6400,0.000028
FILLER_57_230,VGND,li1,111.5500,168.6400,0.000027
FILLER_57_218,VGND,li1,107.1800,168.6400,0.000025
FILLER_57_212,VGND,li1,103.7300,168.6400,0.000021
FILLER_57_202,VGND,li1,98.9000,168.6400,0.000023
FILLER_57_194,VGND,li1,96.6000,168.6400,0.000024
FILLER_57_185,VGND,li1,91.0800,168.6400,0.000025
FILLER_57_169,VGND,li1,83.4900,168.6400,0.000021
FILLER_57_154,VGND,li1,77.0500,168.6400,0.000016
FILLER_57_146,VGND,li1,74.5200,168.6400,0.000012
FILLER_57_137,VGND,li1,69.2300,168.6400,0.000013
FILLER_57_125,VGND,li1,65.7800,168.6400,0.000012
FILLER_57_113,VGND,li1,60.2600,168.6400,0.000011
FILLER_57_111,VGND,li1,56.8100,168.6400,0.000009
FILLER_57_105,VGND,li1,55.2000,168.6400,0.000009
FILLER_57_78,VGND,li1,42.0900,168.6400,0.000005
FILLER_57_69,VGND,li1,37.9500,168.6400,0.000004
FILLER_57_57,VGND,li1,34.5000,168.6400,0.000004
FILLER_57_50,VGND,li1,29.9000,168.6400,0.000003
FILLER_57_46,VGND,li1,26.9100,168.6400,0.000003
FILLER_57_42,VGND,li1,25.7600,168.6400,0.000002
FILLER_57_27,VGND,li1,20.7000,168.6400,0.000002
FILLER_57_15,VGND,li1,15.1800,168.6400,0.000001
